pair_id,galaxy,companion,galaxy_type,companion_type,z_gal,z_comp,separation_arcsec,connection_type,connection_evidence,absorption_system,redshift_source,primary_test,references,notes,filament_knots_z,z_comp_list,companion_ned_name,companion_ra_deg,companion_dec_deg,one_plus_z_ratio,hubble_distance_factor
NGC4319-Mrk205,NGC 4319,Markarian 205,SBbc galaxy,Seyfert 1 nucleus,0.00468,0.0708,42.0,luminous_bridge,Optical luminous bridge (Arp 1971); H I 21-cm bridge mapped between galaxy and companion (Sulentic & Arp 1987); HST WFPC2 imaging confirms connecting filament,False,ned_verified,bridge_transect,"Arp 1971, ApJ 168, 39; Sulentic & Arp 1987, ApJ 319, 687; Lopez-Corredoira & Gutierrez 2004",Flagship Arp pair; Mrk 205 projected inside the outer isophotes of NGC 4319,,,,,,1.0658119998407454,15.128205128205128
NGC7603-NGC7603B,NGC 7603,NGC 7603B,Seyfert 1 spiral,compact galaxy,0.0295,0.0565,59.0,luminous_filament,Luminous filament connecting the two galaxies (Arp 1970); two emission knots embedded in the filament at z=0.243 and z=0.391 (Lopez-Corredoira & Gutierrez 2002),False,ned_verified,filament_transect,"Arp 1970, Astrofisika 6, 367; Lopez-Corredoira & Gutierrez 2002, A&A 390, L15","Filament hosts two additional discordant knots, giving a four-point redshift transect",0.243;0.391,,,,,1.0262263234579891,1.9152542372881358
NGC3067-3C232,NGC 3067,3C 232,Sb spiral,radio quasar,0.0049,0.533,114.0,absorption_system,Ca II K absorption at z=0.005 in the quasar spectrum at the redshift of NGC 3067 (Stocke et al. 1991); 21-cm H I absorption at the galaxy redshift (Carilli et al. 1992),True,ned_verified,absorption_proximity,"Stocke et al. 1991, ApJ 374, 72; Carilli, van Gorkom & Stocke 1989, Nature 338, 134",Foreground halo gas of NGC 3067 absorbs the quasar; proves the quasar lies behind the galaxy halo despite a two-orders-of-magnitude redshift difference,,,,,,1.525524927853518,108.77551020408164
NGC1073-QSOs,NGC 1073,three disk quasars (BSO 1-3),SBc barred spiral,quasars,0.007,0.5997,120.0,disk_projection,"Three quasars at z=0.60, 1.40, 1.94 projected on or immediately adjacent to the galaxy disk (Arp & Sulentic 1979); excess radio emission reported in the disk",False,ned_verified,chance_alignment,"Arp & Sulentic 1979, ApJ 229, 496; Arp 1987, Quasars, Redshifts and Controversies",Quasar surface density at this brightness is ~10^-2 deg^-2; three within a single low-z disk is vanishingly improbable under chance alignment,,0.5997;1.4042;1.9452,,,,1.5885799404170804,85.67142857142858
NGC7319-QSO,NGC 7319,QSO (z=2.114),SBbc Seyfert 2 (Stephan's Quintet),X-ray quasar,0.0225,2.114,8.9,ejection_candidate,Quasar at z=2.114 found 8.9 arcsec from the nucleus of NGC 7319 (Galianni et al. 2005: 8 arcsec); strong X-ray source (Chandra ULX; Trinchieri et al. 2003); radio jet structure extending toward the galaxy,False,ned_verified,chance_alignment,"Galianni et al. 2005, ApJ 620, 88; Trinchieri et al. 2003, A&A 401, 173",Proposed ejection candidate; largest intrinsic redshift in the sample. Companion is the ULX/QSO [VV2006] J223603.7+335824; separation is the published 8-9 arcsec (Galianni et al. 2005),,,LQAC 339+033 002,339.0154,33.9733,3.0454767726161367,93.95555555555555
NGC1199-companion,NGC 1199,compact companion (z=0.044),elliptical,compact object,0.0083,0.044,58.0,silhouette,Compact companion at z=0.044 appears silhouetted in absorption against the diffuse light of NGC 1199 at z=0.0083 (Arp 1978); the higher-redshift object lies in front of the lower-redshift galaxy,True,ned_verified,absorption_proximity,"Arp 1978, ApJ 220, 401; Arp 1987","Silhouette argument: galaxy dust absorbs the companion's light, placing it behind the galaxy body yet the redshift is five times larger. Companion is 2MASXi J0303366-153740 (z=0.0444); separation is archive astrometry (NED), the object sits on the southwest edge of the galaxy body",,,2MASXi J0303366-153740,45.90269,-15.62786,1.0354061291282357,5.301204819277108
NGC3628-XQSO,NGC 3628,Wee 51 (minor-axis X-ray quasar),Sb edge-on (Leo Triplet),X-ray quasar,0.002822,1.498283,300.0,axis_alignment,X-ray quasar Wee 51 at the tip of the minor-axis X-ray filament emerging from the nucleus of NGC 3628 (Arp et al. 2002); further quasars align with the galaxy's H I plumes; ejection-axis morphology consistent with other Arp systems,False,ned_verified,chance_alignment,"Arp, Burbidge, Chu, Flesch, Patat & Rupprecht 2002, A&A 391, 833","Companion is Wee 51 = QSO B1117+137 = [HB89] 1117+137, the quasar at the end of the 4.1-arcmin minor-axis X-ray filament. Arp et al. (2002) tabulate z=2.15 for this object; modern spectroscopic archives (NED, Milliquas) carry z=1.498-1.499. Flagged literature_approx so step_01 archive verification supersedes the literature value.",,,WEE 51,170.0494,13.523,2.4912526849231464,530.9294826364281
NGC4258-QSOs,NGC 4258,X-ray quasar pair (E and W arm sources),SABbc Seyfert 1.9,X-ray quasars,0.0015,0.398,576.0,axis_alignment,"Two compact ROSAT X-ray sources, each ~9 arcmin from the nucleus; the line joining them passes within ~5 deg of the minor axis and touches the ends of the anomalous H-alpha/X-ray arms (Pietsch et al. 1994). Spectroscopy shows both are quasars: z=0.398 (W source) and z=0.653 (E source) (Burbidge 1995). The accidental-pair probability was estimated at <4e-7 (Arp 1997)",False,ned_verified,chance_alignment,"Burbidge 1995, A&A 298, L1; Pietsch et al. 1994, A&A 284, 386; Burbidge & Burbidge 1997, ApJ 477, L13",The anomalous arms are H-alpha and X-ray features interpreted by Arp as ejection channels; the paired quasars sit symmetrically along the arm axis. Companion members are resolved individually against Milliquas/NED in steps 01 and 22,,0.398;0.653,,,,1.395906140788817,265.3333333333333
NGC2639-QSOs,NGC 2639,paired X-ray quasars and minor-axis chain,Sa LINER/Seyfert 2,X-ray quasars,0.0111,0.3048,600.0,axis_alignment,"Two bright X-ray quasars paired nearly symmetrically across the nucleus along the minor-axis direction, z=0.3048 and z=0.3232 (Burbidge 1997); a line of seven ROSAT X-ray sources runs along the northeast minor axis, four spectroscopically confirmed as QSO/AGN at z=0.337-2.63, with FIRST radio sources on the same axis (Burbidge, Burbidge, Arp & Zibetti 2004)",False,ned_verified,chance_alignment,"Burbidge 1997, ApJ 484, L99; Burbidge, Burbidge, Arp & Zibetti 2004, ApJS 153, 159",The z=0.305/0.323 pair is near-symmetric across the nucleus; the minor-axis chain extends the ejection-axis morphology of NGC 3628 and NGC 3516. Members are resolved individually against the archive in steps 01 and 22,,0.3048;0.3232,,,,1.2904757195134011,27.45945945945946
NGC1097-jetQSOs,NGC 1097,quasar field correlated with optical jets,SBb Seyfert 1,quasars,0.00424,0.52,720.0,axis_alignment,"Complete quasar search of the 8.1 sq deg field found 31 quasars with surface density increasing toward the galaxy and peaking between the two strongest northern jets (excess factor ~20 for bright quasars; Arp, Wolstencroft & He 1984); six quasars group within the jet-bounded area, four X-ray detected (Wolstencroft et al. 1983). The 2dF catalogue brings the count to 142 within 1 deg, ~38 in excess of background, with a quasar string along the NE minor axis and paired redshifts (z=2.47/2.61 opposite z=2.47/2.63; a second pair at z=0.52/0.52) (Arp & Carosati 2007)",False,ned_verified,chance_alignment,"Arp, Wolstencroft & He 1984, ApJ 285, 44; Wolstencroft, Ku, Arp & Scarrott 1983, MNRAS 205, 67; Arp & Carosati 2007, arXiv:0706.0143","Jet-correlated quasar field; the claimed association is the azimuthal and radial density correlation with the optical jets rather than a single small angular separation, so its evidential weight is structural (as for NGC 3516). Members are resolved individually against the archive in steps 01 and 22",,0.52;2.47;2.61;2.63,,,,1.5135824105791444,122.64150943396227
