model,label,n_params,logZ,logZ_err,ess,chi2_min,dlogZ_vs_nested3,log10_bayes_factor_vs_nested3
const_null,A = 1 (no intrinsic field),0,-55897.55824735029,0.0,inf,111842.60529790029,-55901.10065514825,-24277.539546849137
linear,linear monotonic,1,-22933.501154607653,0.1174419682516368,1553.5477509216494,45902.70439789274,-22937.043562405615,-9961.431450327264
exponential,exponential monotonic,2,-10829.527169756151,0.13463978173815433,1648.394493374127,21691.153085247388,-10833.069577554113,-4704.742339605742
tanh,tanh step,3,-10829.591072202053,0.1353655795686945,1620.563947412283,21691.153085443413,-10833.133480000015,-4704.770092085378
yukawa,Yukawa monotonic,2,-48189.175924861374,0.17195843516409792,2387.558773845116,96399.58822031888,-48192.71833265934,-20929.83163979163
single_well,single Lorentzian well,3,-1102.2353597505785,0.20867668864976488,2674.899512399684,2213.4938569754704,-1105.7777675485404,-480.23318265762776
nested_2well,two knot wells (companion unfitted),3,5.039296031791387,0.20092753968032534,2354.368992635728,2.6626238024326483,1.4968882338294343,0.6500902999780278
nested_3well,three nested wells (TEP),4,3.5424077979619524,0.21724880686617606,2379.6716997169856,0.006433131547368021,0.0,0.0
nested_3well_flatw,"three nested wells, flat w (step_31 prior)",4,1.0822209209215492,0.2304715057721403,2393.608575850659,0.013504363230588012,-2.460186877040403,-1.068445585149441
nested_3well_fwhm,"three nested wells, imaging prior on w",4,4.657561249051548,0.211085328505051,2311.82676717218,0.004247251727711898,1.1151534510895953,0.48430499028357904
