pair_id,status,image,companion_resolved,resolution_method,resolved_companion,companion_z,n_companions_matched,pa_bridge_deg,pa_sky_deg,catalog_separation_arcsec,measured_separation_arcsec,bridge_claimed,mu_bridge,mu_control_mean,mu_control_std,S_bridge,sign_k,sign_n,sign_p,peak_z,peak_x,S_silhouette,mu_annulus,mu_annulus_ctrl,S_filament,sign_p_filament,peak_z_filament,peak_x_filament,n_filament_samples,mu_filament,mu_filament_ctrl,knot_embeddedness,n_knot_embed_controls,S_filament_g,sign_p_filament_g,S_filament_dss,sign_p_filament_dss,blind_ridge
NGC4319-Mrk205,ok,data/raw/skyview/NGC4319-Mrk205_LS-DR10r.fits,True,ned_name,MRK 0205,0.0708,1,-91.01969315851704,178.98030678505737,42.0,42.73326314206645,True,0.14643908704956762,0.13236444639191125,0.07476949616105254,0.18824041059926067,8,9,0.01953125,1.7416759222452536,0.46296296296296297,,,,,,,,,,,,,,,,,
NGC7603-NGC7603B,ok,data/raw/skyview/NGC7603-NGC7603B_LS-DR10r.fits,True,ned_name,NGC 7603B,0.0565,1,-149.4698398847804,120.53016011361102,59.0,58.27069959003526,True,0.029477015211774045,0.02793992060216844,0.017481739757761416,0.08792572312050216,6,12,0.61279296875,2.6868596016468893,0.8009049773755657,,,,3.918544411867496,3.0517578125e-05,5.747606859423393,0.49469964664310956,284.0,0.04769218048078167,0.01693326753281456,"[{'knot_index': 0, 'perp_contrast': 0.008290689904242754, 'peak_offset_arcsec': -1.3100000000000005, 'extended_contrast': 0.0035144368497033937, 'contrast_z_vs_controls': 2.0912347791705224, 'extended_z_vs_controls': 4.787773096059365}, {'knot_index': 1, 'perp_contrast': 0.026784091722220182, 'peak_offset_arcsec': -1.5720000000000007, 'extended_contrast': 0.013427044606457154, 'contrast_z_vs_controls': 7.20175643642359, 'extended_z_vs_controls': 19.13205487485376}]",16.0,4.001505679524961,3.0517578125e-05,2.9974620680059063,0.0009765625,"[{'knot_index': 0, 'chord_fraction': 0.5456075767663396, 'ridge_offset_arcsec': -4.596909090909094, 'control_median_offset_arcsec': 6.109363636363639, 'empirical_p': 0.25}, {'knot_index': 1, 'chord_fraction': 0.905111627776752, 'ridge_offset_arcsec': -6.550000000000003, 'control_median_offset_arcsec': 5.418636363636367, 'empirical_p': 1.0}]"
NGC3067-3C232,ok,data/raw/skyview/NGC3067-3C232_LS-DR10r.fits,True,ned_name,3C 232,0.533,1,89.18953476343852,359.18953465513505,114.0,110.19439179706703,False,0.0007177846415318363,0.006817093982909292,0.015155263126351232,-0.40245486274482917,2,22,0.9999945163726807,2.747872493552725,0.7547619047619047,,,,,,,,,,,,,,,,,
NGC1073-QSOs,ok,data/raw/skyview/NGC1073-QSOs_LS-DR10r.fits,True,simbad_milliquas_cone_zmatch,QSO B0240+011,0.59824,3,-27.557627790394253,242.44237221761466,120.0,121.4199573092049,False,0.05587091255120078,0.04847561085525669,0.021505721424304493,0.3438760109477826,24,24,5.960464477539063e-08,1.9429812513987228,0.512987012987013,,,,,,,,,,,,,,,,,
NGC7319-QSO,ok,data/raw/skyview/NGC7319-QSO_SDSSr.fits,True,simbad_milliquas_cone_zmatch,[VV2006] J223603.7+335824,2.114,1,-97.55609948279253,172.44390557310317,8.9,9.255567403332028,False,1.0138733878968251,0.8379526289682538,0.3633324242535138,0.4841867864945168,2,2,,1.064909754680724,0.7727272727272727,,,,,,,,,,,,,,,,,
NGC1199-companion,ok,data/raw/skyview/NGC1199-companion_LS-DR10r.fits,True,ned_cone_zmatch,2MASXi J0303366-153740,0.0444,1,-63.66164299952937,206.33835705167937,58.0,57.83885791018318,False,0.11202501397129601,0.10414920515899337,0.037533546453865856,0.20983385681348138,12,12,0.000244140625,0.8993504053715691,0.45,1.9703534549232,0.05028084412771998,0.03674659887535821,,,,,,,,,,,,,,
NGC3628-XQSO,ok,data/raw/skyview/NGC3628-XQSO_LS-DR10r.fits,True,simbad_milliquas_cone_zmatch,WEE 51,1.4989999532699585,1,-72.53532954481862,197.46467053350233,300.0,251.1097688146428,False,0.0036400828891341463,0.041810483131866256,0.05335685958037743,-0.7153794384250023,0,48,1.0,-0.560350911927693,0.6802507836990596,,,,,,,,,,,,,,,,,
NGC4258-QSOs,ok,data/raw/skyview/NGC4258-QSOs_LS-DR10r.fits,True,simbad_milliquas_cone_zmatch,SDSS J121902.21+470505.4,0.40846,2,-93.4075670288483,176.5924332161358,576.0,789.3414133486841,False,0.007003346337353422,0.00273140134358106,0.00518921866403445,0.8232347238285509,20,22,6.0558319091796875e-05,2.158040192684226,0.46215139442231074,,,,,,,,,,,,,,,,,
NGC2639-QSOs,ok,data/raw/skyview/NGC2639-QSOs_LS-DR10r.fits,True,simbad_milliquas_cone_zmatch,SDSS J084331.40+500227.0,0.2971,2,-83.82388847289448,186.17611129308807,600.0,596.3168438759134,False,0.00026830586454415365,0.05261083443464245,0.6863638559816088,-0.07626061325044602,33,70,0.7247937440887644,8.626450516641437,0.661978021978022,,,,,,,,,,,,,,,,,
NGC1097-jetQSOs,ok,data/raw/skyview/NGC1097-jetQSOs_LS-DR10r.fits,True,mixed,CEMM J1779.9BL  2,0.53,2,-29.409310664281335,240.5906895877951,720.0,725.9759816645338,False,0.004176857037993578,0.0015476989378063672,0.005392738414201378,0.4875367388975361,46,69,0.003810260927512849,88.71378464374327,0.5220216606498195,,,,,,,,,,,,,,,,,
