pair_id,resolved_name,is_primary,connection_type,pa_companion_deg,pa_major_deg,theta_rel_deg,offset_from_minor_deg,offset_from_major_deg,host_axis_ratio,host_axis_ratio_folded,separation_arcsec
NGC1073-QSOs,QSO B0240+011,True,disk_projection,242.44193792395572,33.67203880537672,28.76989911857899,61.23010088142101,28.76989911857899,0.72,0.72,121.4199573092049
NGC1073-QSOs,QSO B0241+011,False,disk_projection,190.68930722692414,33.67203880537672,157.0172684215474,67.01726842154741,22.982731578452587,0.72,0.72,85.1254722972822
NGC1073-QSOs,[VV96] J024333.6+012222,False,disk_projection,263.77286385032494,33.67203880537672,50.10082504494821,39.89917495505179,50.10082504494821,0.72,0.72,106.4345392775338
NGC1097-jetQSOs,CEMM J1779.9BL  2,True,axis_alignment,240.65440579900974,133.89568513364534,106.7587206653644,16.758720665364393,73.2412793346356,1.62,0.6172839506172839,725.9759816645338
NGC1097-jetQSOs,WISP 257  129,False,axis_alignment,168.48443580226942,133.89568513364534,34.58875066862407,55.41124933137593,34.58875066862407,1.62,0.6172839506172839,993.2831056524266
NGC1199-companion,2MASXi J0303366-153740,True,silhouette,206.34015366334148,40.22837635987032,166.11177730347117,76.11177730347117,13.888222696528828,0.72,0.72,57.83885791018318
NGC1232-NGC1232A,NGC 1232A,True,luminous_filament,108.38904798602255,111.6924818190728,176.69656616694976,86.69656616694976,3.303433833050235,1.27,0.7874015748031495,243.0524260265937
NGC2639-QSOs,SDSS J084331.40+500227.0,True,axis_alignment,186.1549310760769,143.37953531933982,42.77539575673708,47.22460424326292,42.77539575673708,0.51,0.51,596.3168438759134
NGC2639-QSOs,SDSS J084326.65+500845.6,False,axis_alignment,207.0764862107314,143.37953531933982,63.696950891391566,26.303049108608434,63.696950891391566,0.51,0.51,240.68805216620916
NGC3067-3C232,3C 232,True,absorption_system,359.1892600614708,103.74317706625024,75.44608299522056,14.553917004779436,75.44608299522056,0.38,0.38,110.19439179706704
NGC3516-Qchain,[VV98] J110833.2+722610,False,axis_alignment,135.02906326411775,21.25507823773119,113.77398502638655,23.773985026386555,66.22601497361345,0.72,0.72,674.5276452942178
NGC3516-Qchain,1WGA J1106.2+7244,False,axis_alignment,346.91247813172356,21.25507823773119,145.65739989399236,55.65739989399236,34.34260010600764,0.72,0.72,622.6290523933615
NGC3516-Qchain,NuSTAR J110752+7230.7,True,axis_alignment,124.81847095161852,21.25507823773119,103.56339271388734,13.563392713887339,76.43660728611266,0.72,0.72,357.23909715617754
NGC3516-Qchain,1WGA J1105.4+7238,False,axis_alignment,304.12680358467276,21.25507823773119,102.87172534694156,12.87172534694156,77.12827465305844,0.72,0.72,445.6377159398765
NGC3516-Qchain,1WGA J1107.7+7232,False,axis_alignment,110.52823661995643,21.25507823773119,89.27315838222523,0.7268416177747667,89.27315838222523,0.72,0.72,260.5057050214705
NGC3628-XQSO,WEE 51,True,axis_alignment,197.4598470098891,100.49634406576145,96.96350294412765,6.963502944127654,83.03649705587235,0.432,0.432,251.1097688146428
NGC4258-QSOs,SDSS J121902.21+470505.4,True,axis_alignment,176.60645890298818,167.60225084485094,9.004208058137237,80.99579194186276,9.004208058137237,0.49,0.49,789.3414133486841
NGC4258-QSOs,SDSS J121952.31+472058.5,False,axis_alignment,73.46967396524707,167.60225084485094,85.86742312039613,4.132576879603874,85.86742312039613,0.49,0.49,580.1439359488575
NGC4319-Mrk205,MRK 0205,True,luminous_bridge,178.9811125164935,150.0,28.98111251649351,61.01888748350649,28.98111251649351,0.7,0.7,42.73326314206645
NGC7319-QSO,[VV2006] J223603.7+335824,True,ejection_candidate,172.44413142062024,147.5,24.944131420620238,65.05586857937976,24.944131420620238,0.56,0.56,9.255567403332028
NGC7603-NGC7603B,NGC 7603B,True,luminous_filament,120.53019702455984,162.28786562115528,138.24233140340456,48.24233140340456,41.75766859659544,0.7,0.7,58.27069959003526
