pair_id,resolved_name,ra_deg,dec_deg,z,z_target,z_match_rel,measured_separation_arcsec,resolution_method,is_primary
NGC4319-Mrk205,MRK 0205,185.43372,75.31064,0.0708,0.0708,0.0,42.73326314206645,ned_name,True
NGC7603-NGC7603B,NGC 7603B,349.75,0.23566,0.0565,0.0565,0.0,58.27069959003526,ned_name,True
NGC3067-3C232,3C 232,149.58729,32.40061,0.533,0.533,0.0,110.19439179706703,ned_name,True
NGC1073-QSOs,QSO B0240+011,40.88924869033,1.36026542625,0.59824,0.5997,0.0024345506086376804,121.4199573092049,simbad_milliquas_cone_zmatch,True
NGC1073-QSOs,QSO B0241+011,40.91477113925,1.3526338020600002,1.4,1.4042,0.0029910269192422604,85.1254722972822,simbad_milliquas_cone_zmatch,False
NGC1073-QSOs,[VV96] J024333.6+012222,40.88975917018,1.3726625092000002,1.945,1.9452,0.00010281719103432962,106.4345392775338,simbad_milliquas_cone_zmatch,False
NGC7319-QSO,[VV2006] J223603.7+335824,339.0154166666667,33.973333333333336,2.114,2.114,0.0,9.255567403332028,simbad_milliquas_cone_zmatch,True
NGC1199-companion,2MASXi J0303366-153740,45.90269,-15.62786,0.0444,0.044,0.009090909090909195,57.83885791018318,ned_cone_zmatch,True
NGC3628-XQSO,WEE 51,170.0493774,13.5229507,1.4989999532699585,1.498283,0.0004785165886274253,251.1097688146428,simbad_milliquas_cone_zmatch,True
NGC4258-QSOs,SDSS J121902.21+470505.4,184.75922299999996,47.084844,0.40846,0.398,0.0262814070351758,789.3414133486841,simbad_milliquas_cone_zmatch,True
NGC4258-QSOs,SDSS J121952.31+472058.5,184.96799894639997,47.34958891672001,0.6535,0.653,0.0007656967840734226,580.1439359488575,simbad_milliquas_cone_zmatch,False
NGC2639-QSOs,SDSS J084331.40+500227.0,130.88087,50.04085400000001,0.2971,0.3048,0.02526246719160118,596.3168438759134,simbad_milliquas_cone_zmatch,True
NGC2639-QSOs,SDSS J084326.65+500845.6,130.861076,50.146017,0.3364,0.3232,0.04084158415841581,240.68805216620916,simbad_milliquas_cone_zmatch,False
NGC1097-jetQSOs,CEMM J1779.9BL  2,41.37579166666667,-30.373777777777775,0.53,0.52,0.019230769230769246,725.9759816645338,mixed,True
NGC1097-jetQSOs,WISP 257  129,41.643196,-30.545284,2.3342,2.47,0.054979757085020294,993.2831056524266,mixed,False
NGC1232-NGC1232A,NGC 1232A,47.50808,-20.6006,0.02201,0.02201,0.0,243.0524260265937,ned_name,True
NGC3516-Qchain,[VV98] J110833.2+722610,167.13900793703,72.43637967654,0.328,0.328,0.0,674.5276452942178,simbad_milliquas_cone_zmatch,False
NGC3516-Qchain,1WGA J1106.2+7244,166.5669971,72.7371946,0.6899999976158142,0.69,3.4553416488766956e-09,622.6290523933615,simbad_milliquas_cone_zmatch,False
NGC3516-Qchain,NuSTAR J110752+7230.7,166.969429,72.512094,0.901,0.93,0.031182795698924758,357.23909715617754,simbad_milliquas_cone_zmatch,True
NGC3516-Qchain,1WGA J1105.4+7238,166.3552376,72.6382347,1.3990000486373901,1.399,3.476582567219619e-08,445.6377159398765,simbad_milliquas_cone_zmatch,False
NGC3516-Qchain,1WGA J1107.7+7232,166.9238461,72.5433343,2.0999999046325684,2.1,4.541306272830611e-08,260.5057050214705,simbad_milliquas_cone_zmatch,False
