pair_id,galaxy,pa_deg,axis_ratio,n_measurements,source
NGC4319-Mrk205,NGC 4319,150.0,0.7,4,NED diameters (literature photometry)
NGC7603-NGC7603B,NGC 7603,162.28786562115528,0.7,7,NED diameters (literature photometry)
NGC3067-3C232,NGC 3067,103.74317706625024,0.38,7,NED diameters (literature photometry)
NGC1073-QSOs,NGC 1073,33.67203880537672,0.72,3,NED diameters (literature photometry)
NGC7319-QSO,NGC 7319,147.5,0.56,2,NED diameters (literature photometry)
NGC1199-companion,NGC 1199,40.22837635987032,0.72,3,NED diameters (literature photometry)
NGC3628-XQSO,NGC 3628,100.49634406576145,0.432,7,NED diameters (literature photometry)
NGC4258-QSOs,NGC 4258,167.60225084485094,0.49,8,NED diameters (literature photometry)
NGC2639-QSOs,NGC 2639,143.37953531933982,0.51,9,NED diameters (literature photometry)
NGC1097-jetQSOs,NGC 1097,133.89568513364534,1.62,13,NED diameters (literature photometry)
NGC1232-NGC1232A,NGC 1232,111.6924818190728,1.27,14,NED diameters (literature photometry)
NGC3516-Qchain,NGC 3516,21.25507823773119,0.72,3,NED diameters (literature photometry)
