pair_id,z_gal,z_comp,a_int,delta_phi,z_intrinsic,clock_rate_ratio,hubble_distance_factor,separation_arcsec,connection_type
NGC4319-Mrk205,0.00468,0.0708,0.9382517743742996,0.06373694981579786,0.06581199984074537,0.9382517743742996,15.128205128205128,42.0,luminous_bridge
NGC7603-NGC7603B,0.0295,0.0565,0.9744439185991483,0.025888310588267127,0.026226323457989142,0.9744439185991483,1.9152542372881358,59.0,luminous_filament
NGC3067-3C232,0.0049,0.533,0.6555120678408349,0.42233856581690116,0.5255249278535179,0.6555120678408349,108.77551020408164,114.0,absorption_system
NGC1073-QSOs,0.007,0.5997,0.6294930299431143,0.4628404979289878,0.5885799404170804,0.6294930299431143,85.67142857142858,120.0,disk_projection
NGC7319-QSO,0.0225,2.114,0.32835581245985873,1.1136574644769868,2.0454767726161367,0.32835581245985873,93.95555555555555,8.9,ejection_candidate
NGC1199-companion,0.0083,0.044,0.9658045977011493,0.03479374504341444,0.03540612912823571,0.9658045977011493,5.301204819277108,58.0,silhouette
NGC3628-XQSO,0.002822,1.498283,0.40140448460002337,0.91278567028564,1.4912526849231464,0.40140448460002337,530.9294826364281,300.0,axis_alignment
NGC4258-QSOs,0.0015,0.398,0.7163805436337625,0.3335437676878827,0.3959061407888169,0.7163805436337625,265.3333333333333,576.0,axis_alignment
NGC2639-QSOs,0.0111,0.3048,0.774908031882281,0.2550109252094505,0.2904757195134011,0.774908031882281,27.45945945945946,600.0,axis_alignment
NGC1097-jetQSOs,0.00424,0.52,0.6606842105263158,0.4144792983303692,0.5135824105791444,0.6606842105263158,122.64150943396227,720.0,axis_alignment
NGC1232-NGC1232A,0.00535,0.02201,0.983698789640023,0.016435536879935545,0.016571343313274145,0.983698789640023,4.114018691588785,264.0,luminous_filament
NGC3516-Qchain,0.0088,0.93,0.5226943005181346,0.6487584972482217,0.913164155432197,0.5226943005181346,105.68181818181819,674.5,axis_alignment
