pair_id,band,archive,catalog_or_table,radius_arcmin,n_records,status
NGC4319-Mrk205,X-ray,Chandra,chanmaster,5.0,0,no_match
NGC4319-Mrk205,X-ray,XMM-Newton,xmmmaster,5.0,7,ok
NGC4319-Mrk205,X-ray,ROSAT,rosmaster,5.0,9,ok
NGC4319-Mrk205,radio,NVSS,VIII/65/nvss,5.0,3,ok
NGC4319-Mrk205,radio,FIRST,VIII/92/first14,5.0,0,no_match
NGC7603-NGC7603B,X-ray,Chandra,chanmaster,5.0,0,no_match
NGC7603-NGC7603B,X-ray,XMM-Newton,xmmmaster,5.0,2,ok
NGC7603-NGC7603B,X-ray,ROSAT,rosmaster,5.0,1,ok
NGC7603-NGC7603B,radio,NVSS,VIII/65/nvss,5.0,1,ok
NGC7603-NGC7603B,radio,FIRST,VIII/92/first14,5.0,1,ok
NGC3067-3C232,X-ray,Chandra,chanmaster,5.0,0,no_match
NGC3067-3C232,X-ray,XMM-Newton,xmmmaster,5.0,0,no_match
NGC3067-3C232,X-ray,ROSAT,rosmaster,5.0,1,ok
NGC3067-3C232,radio,NVSS,VIII/65/nvss,5.0,2,ok
NGC3067-3C232,radio,FIRST,VIII/92/first14,5.0,12,ok
NGC1073-QSOs,X-ray,Chandra,chanmaster,5.0,1,ok
NGC1073-QSOs,X-ray,XMM-Newton,xmmmaster,5.0,0,no_match
NGC1073-QSOs,X-ray,ROSAT,rosmaster,5.0,2,ok
NGC1073-QSOs,radio,NVSS,VIII/65/nvss,5.0,4,ok
NGC1073-QSOs,radio,FIRST,VIII/92/first14,5.0,10,ok
NGC7319-QSO,X-ray,Chandra,chanmaster,5.0,2,ok
NGC7319-QSO,X-ray,XMM-Newton,xmmmaster,5.0,2,ok
NGC7319-QSO,X-ray,ROSAT,rosmaster,5.0,3,ok
NGC7319-QSO,radio,NVSS,VIII/65/nvss,5.0,4,ok
NGC7319-QSO,radio,FIRST,VIII/92/first14,5.0,0,no_match
NGC1199-companion,X-ray,Chandra,chanmaster,5.0,1,ok
NGC1199-companion,X-ray,XMM-Newton,xmmmaster,5.0,0,no_match
NGC1199-companion,X-ray,ROSAT,rosmaster,5.0,1,ok
NGC1199-companion,radio,NVSS,VIII/65/nvss,5.0,0,no_match
NGC1199-companion,radio,FIRST,VIII/92/first14,5.0,0,no_match
NGC3628-XQSO,X-ray,Chandra,chanmaster,7.0,4,ok
NGC3628-XQSO,X-ray,XMM-Newton,xmmmaster,7.0,2,ok
NGC3628-XQSO,X-ray,ROSAT,rosmaster,7.0,4,ok
NGC3628-XQSO,radio,NVSS,VIII/65/nvss,7.0,3,ok
NGC3628-XQSO,radio,FIRST,VIII/92/first14,7.0,8,ok
NGC4258-QSOs,X-ray,Chandra,chanmaster,13.44,10,ok
NGC4258-QSOs,X-ray,XMM-Newton,xmmmaster,13.44,10,ok
NGC4258-QSOs,X-ray,ROSAT,rosmaster,13.44,6,ok
NGC4258-QSOs,radio,NVSS,VIII/65/nvss,13.44,15,ok
NGC4258-QSOs,radio,FIRST,VIII/92/first14,13.44,28,ok
NGC2639-QSOs,X-ray,Chandra,chanmaster,14.0,2,ok
NGC2639-QSOs,X-ray,XMM-Newton,xmmmaster,14.0,1,ok
NGC2639-QSOs,X-ray,ROSAT,rosmaster,14.0,1,ok
NGC2639-QSOs,radio,NVSS,VIII/65/nvss,14.0,12,ok
NGC2639-QSOs,radio,FIRST,VIII/92/first14,14.0,20,ok
NGC1097-jetQSOs,X-ray,Chandra,chanmaster,16.799999999999997,7,ok
NGC1097-jetQSOs,X-ray,XMM-Newton,xmmmaster,16.799999999999997,1,ok
NGC1097-jetQSOs,X-ray,ROSAT,rosmaster,16.799999999999997,4,ok
NGC1097-jetQSOs,radio,NVSS,VIII/65/nvss,16.799999999999997,10,ok
NGC1097-jetQSOs,radio,FIRST,VIII/92/first14,16.799999999999997,0,no_match
NGC1232-NGC1232A,X-ray,Chandra,chanmaster,6.16,6,ok
NGC1232-NGC1232A,X-ray,XMM-Newton,xmmmaster,6.16,0,no_match
NGC1232-NGC1232A,X-ray,ROSAT,rosmaster,6.16,0,no_match
NGC1232-NGC1232A,radio,NVSS,VIII/65/nvss,6.16,6,ok
NGC1232-NGC1232A,radio,FIRST,VIII/92/first14,6.16,0,no_match
NGC3516-Qchain,X-ray,Chandra,chanmaster,15.738333333333333,16,ok
NGC3516-Qchain,X-ray,XMM-Newton,xmmmaster,15.738333333333333,24,ok
NGC3516-Qchain,X-ray,ROSAT,rosmaster,15.738333333333333,2,ok
NGC3516-Qchain,radio,NVSS,VIII/65/nvss,15.738333333333333,10,ok
NGC3516-Qchain,radio,FIRST,VIII/92/first14,15.738333333333333,0,no_match
