pair_id,role,object,literature_z,ned_z,ned_type,match_method,frac_diff,status
NGC4319-Mrk205,galaxy,NGC 4319,0.00468,0.004923,G,name,0.00024186805749094254,verified
NGC4319-Mrk205,companion,Markarian 205,0.0708,0.070846,G,name,4.2958535674266315e-05,verified
NGC7603-NGC7603B,galaxy,NGC 7603,0.0295,0.028762,G,name,0.0007168528411850404,verified
NGC7603-NGC7603B,companion,NGC 7603B,0.0565,0.055702,G,name,0.0007553241836251776,verified
NGC3067-3C232,galaxy,NGC 3067,0.0049,0.004841,G,name,5.871230968255551e-05,verified
NGC3067-3C232,companion,3C 232,0.533,0.530615,QSO,name,0.0015557729941292119,verified
NGC1073-QSOs,galaxy,NGC 1073,0.007,0.004013,G,name,0.002966236345580934,verified
NGC7319-QSO,galaxy,NGC 7319,0.0225,0.022507,G,name,6.845965770171209e-06,verified
NGC7319-QSO,companion,QSO (z=2.114),2.114,2.114,QSO,ned_name,0.0,verified
NGC1199-companion,galaxy,NGC 1199,0.0083,0.008573,G,name,0.0002707527521570968,verified
NGC1199-companion,companion,compact companion (z=0.044),0.044,0.0444,G,ned_name,0.0003831417624521116,verified
NGC3628-XQSO,galaxy,NGC 3628,0.0038,0.002822,G,name,0.0009742976688583385,verified
NGC3628-XQSO,companion,Wee 51 (minor-axis X-ray quasar),2.15,1.498283,QSO,ned_name,0.20689428571428567,corrected
NGC4258-QSOs,galaxy,NGC 4258,0.0015,0.001538,G,name,3.794308537194214e-05,verified
NGC2639-QSOs,galaxy,NGC 2639,0.0111,0.011128,G,name,2.769261200672559e-05,verified
NGC1097-jetQSOs,galaxy,NGC 1097,0.00424,0.00424,G,name,0.0,verified
NGC1232-NGC1232A,galaxy,NGC 1232,0.00535,0.005347,G,name,2.984035410553072e-06,verified
NGC1232-NGC1232A,companion,NGC 1232A,0.02201,0.022012,G,name,1.956928014404947e-06,verified
NGC3516-Qchain,galaxy,NGC 3516,0.0088,0.008836,G,name,3.568596352101465e-05,verified
