pair_id,z_gal,z_comp,a_int,delta_phi,z_intrinsic,clock_rate_ratio,hubble_distance_factor,separation_arcsec,connection_type,absorption_system
NGC4319-Mrk205,0.00468,0.0708,0.9382517743742996,0.0637369498157978,0.0658119998407453,0.9382517743742996,15.128205128205128,42.0,luminous_bridge,False
NGC7603-NGC7603B,0.0295,0.0565,0.9744439185991484,0.0258883105882671,0.0262263234579891,0.9744439185991484,1.915254237288136,59.0,luminous_filament,False
NGC3067-3C232,0.0049,0.533,0.6555120678408349,0.4223385658169011,0.5255249278535179,0.6555120678408349,108.77551020408164,114.0,absorption_system,True
NGC1073-QSOs,0.007,0.5997,0.6294930299431143,0.4628404979289878,0.5885799404170804,0.6294930299431143,85.67142857142858,120.0,disk_projection,False
NGC7319-QSO,0.0225,2.114,0.3283558124598587,1.1136574644769868,2.0454767726161367,0.3283558124598587,93.95555555555556,8.9,ejection_candidate,False
NGC1199-companion,0.0083,0.044,0.9658045977011492,0.0347937450434144,0.0354061291282357,0.9658045977011492,5.301204819277108,58.0,silhouette,True
NGC3628-XQSO,0.002822,1.498283,0.4014044846000233,0.91278567028564,1.4912526849231464,0.4014044846000233,530.9294826364281,300.0,axis_alignment,False
NGC4258-QSOs,0.0015,0.398,0.7163805436337625,0.3335437676878827,0.3959061407888169,0.7163805436337625,265.3333333333333,576.0,axis_alignment,False
NGC2639-QSOs,0.0111,0.3048,0.774908031882281,0.2550109252094505,0.2904757195134011,0.774908031882281,27.45945945945946,600.0,axis_alignment,False
NGC1097-jetQSOs,0.00424,0.52,0.6606842105263158,0.4144792983303692,0.5135824105791444,0.6606842105263158,122.64150943396228,720.0,axis_alignment,False
NGC1232-NGC1232A,0.00535,0.02201,0.983698789640023,0.0164355368799355,0.0165713433132741,0.983698789640023,4.114018691588785,264.0,luminous_filament,False
NGC3516-Qchain,0.0088,0.93,0.5226943005181346,0.6487584972482217,0.913164155432197,0.5226943005181346,105.6818181818182,674.5,axis_alignment,False
