pair_id,a_int,delta_phi,clock_rate_ratio,clock_lag_per_gyr,v_intrinsic_doppler_kms,fictitious_distance_gap_mpc,fictitious_lookback_gap_gyr,distance_inflation_factor
NGC4319-Mrk205,0.9382517743742996,0.0637369498157978,0.9382517743742996,0.06174822562570037,19729.941198152643,278.2983182252738,0.8751172548364821,14.899528890525023
NGC7603-NGC7603B,0.9744439185991484,0.0258883105882671,0.9744439185991484,0.025556081400851638,7862.453973773612,113.3667324675736,0.35453845894618574,1.9033396919281447
NGC3067-3C232,0.6555120678408349,0.4223385658169011,0.6555120678408349,0.34448793215916507,157548.40986147878,1974.614085092611,5.2024735860452385,95.1983004849246
NGC1073-QSOs,0.6294930299431143,0.4628404979289878,0.6294930299431143,0.3705069700568857,176451.82706713007,2175.513404529201,5.610523105547158,73.68196231544461
NGC7319-QSO,0.3283558124598587,1.1136574644769868,0.3283558124598587,0.6716441875401413,613218.5094444987,5244.3705305708345,10.102284783685308,55.701958364039875
NGC1199-companion,0.9658045977011492,0.0347937450434144,0.9658045977011492,0.03419540229885076,10614.490479619177,151.07822614444467,0.48026563114194154,5.258085444166284
NGC3628-XQSO,0.4014044846000233,0.91278567028564,0.4014044846000233,0.5985955153999767,447066.3079122096,4348.608002403578,9.222777071067233,361.0365565667098
NGC4258-QSOs,0.7163805436337625,0.3335437676878827,0.7163805436337625,0.28361945636623753,118689.67508437348,1538.1799850456898,4.244751740799662,240.5189508547278
NGC2639-QSOs,0.774908031882281,0.2550109252094505,0.774908031882281,0.22509196811771903,87082.42994224108,1164.587171859037,3.3085987062766744,25.55924142502797
NGC1097-jetQSOs,0.6606842105263158,0.4144792983303692,0.6606842105263158,0.33931578947368424,153968.1332530869,1935.5522116714608,5.122143189564703,107.69185478891774
NGC1232-NGC1232A,0.983698789640023,0.0164355368799355,0.983698789640023,0.016301210359977003,4967.963744248306,70.90923399667821,0.22816135788247927,4.098489642476337
NGC3516-Qchain,0.5226943005181346,0.6487584972482217,0.5226943005181346,0.4773056994818654,273759.7267145124,3092.4240103433813,7.304665241014101,83.21595064266711
