pair_id,field_index,n_qso
NGC4319-Mrk205,0,0
NGC4319-Mrk205,1,0
NGC4319-Mrk205,2,0
NGC4319-Mrk205,3,0
NGC4319-Mrk205,4,0
NGC4319-Mrk205,5,0
NGC4319-Mrk205,6,0
NGC4319-Mrk205,7,0
NGC4319-Mrk205,8,0
NGC4319-Mrk205,9,0
NGC4319-Mrk205,10,0
NGC4319-Mrk205,11,0
NGC7603-NGC7603B,0,6
NGC7603-NGC7603B,1,5
NGC7603-NGC7603B,2,2
NGC7603-NGC7603B,3,9
NGC7603-NGC7603B,4,3
NGC7603-NGC7603B,5,0
NGC7603-NGC7603B,6,3
NGC7603-NGC7603B,7,6
NGC7603-NGC7603B,8,1
NGC7603-NGC7603B,9,6
NGC7603-NGC7603B,10,4
NGC7603-NGC7603B,11,5
NGC3067-3C232,0,3
NGC3067-3C232,1,4
NGC3067-3C232,2,5
NGC3067-3C232,3,2
NGC3067-3C232,4,6
NGC3067-3C232,5,4
NGC3067-3C232,6,5
NGC3067-3C232,7,3
NGC3067-3C232,8,4
NGC3067-3C232,9,5
NGC3067-3C232,10,6
NGC3067-3C232,11,5
NGC1073-QSOs,0,5
NGC1073-QSOs,1,5
NGC1073-QSOs,2,1
NGC1073-QSOs,3,4
NGC1073-QSOs,4,8
NGC1073-QSOs,5,4
NGC1073-QSOs,6,3
NGC1073-QSOs,7,7
NGC1073-QSOs,8,12
NGC1073-QSOs,9,3
NGC1073-QSOs,10,5
NGC1073-QSOs,11,5
NGC7319-QSO,0,0
NGC7319-QSO,1,0
NGC7319-QSO,2,0
NGC7319-QSO,3,0
NGC7319-QSO,4,0
NGC7319-QSO,5,4
NGC7319-QSO,6,0
NGC7319-QSO,7,0
NGC7319-QSO,8,2
NGC7319-QSO,9,0
NGC7319-QSO,10,3
NGC7319-QSO,11,0
NGC1199-companion,0,0
NGC1199-companion,1,0
NGC1199-companion,2,0
NGC1199-companion,3,0
NGC1199-companion,4,0
NGC1199-companion,5,0
NGC1199-companion,6,0
NGC1199-companion,7,0
NGC1199-companion,8,0
NGC1199-companion,9,0
NGC1199-companion,10,0
NGC1199-companion,11,0
NGC3628-XQSO,0,2
NGC3628-XQSO,1,0
NGC3628-XQSO,2,0
NGC3628-XQSO,3,1
NGC3628-XQSO,4,2
NGC3628-XQSO,5,2
NGC3628-XQSO,6,2
NGC3628-XQSO,7,1
NGC3628-XQSO,8,1
NGC3628-XQSO,9,0
NGC3628-XQSO,10,0
NGC3628-XQSO,11,0
NGC4258-QSOs,0,3
NGC4258-QSOs,1,5
NGC4258-QSOs,2,6
NGC4258-QSOs,3,2
NGC4258-QSOs,4,2
NGC4258-QSOs,5,7
NGC4258-QSOs,6,6
NGC4258-QSOs,7,4
NGC4258-QSOs,8,4
NGC4258-QSOs,9,5
NGC4258-QSOs,10,2
NGC4258-QSOs,11,4
NGC2639-QSOs,0,5
NGC2639-QSOs,1,1
NGC2639-QSOs,2,4
NGC2639-QSOs,3,2
NGC2639-QSOs,4,6
NGC2639-QSOs,5,5
NGC2639-QSOs,6,1
NGC2639-QSOs,7,7
NGC2639-QSOs,8,4
NGC2639-QSOs,9,4
NGC2639-QSOs,10,1
NGC2639-QSOs,11,6
NGC1097-jetQSOs,0,3
NGC1097-jetQSOs,1,1
NGC1097-jetQSOs,2,2
NGC1097-jetQSOs,3,2
NGC1097-jetQSOs,4,3
NGC1097-jetQSOs,5,0
NGC1097-jetQSOs,6,3
NGC1097-jetQSOs,7,1
NGC1097-jetQSOs,8,3
NGC1097-jetQSOs,9,2
NGC1097-jetQSOs,10,0
NGC1097-jetQSOs,11,1
NGC1232-NGC1232A,0,1
NGC1232-NGC1232A,1,0
NGC1232-NGC1232A,2,0
NGC1232-NGC1232A,3,0
NGC1232-NGC1232A,4,0
NGC1232-NGC1232A,5,0
NGC1232-NGC1232A,6,0
NGC1232-NGC1232A,7,0
NGC1232-NGC1232A,8,0
NGC1232-NGC1232A,9,0
NGC1232-NGC1232A,10,0
NGC1232-NGC1232A,11,0
NGC3516-Qchain,0,0
NGC3516-Qchain,1,0
NGC3516-Qchain,2,0
NGC3516-Qchain,3,0
NGC3516-Qchain,4,0
NGC3516-Qchain,5,0
NGC3516-Qchain,6,0
NGC3516-Qchain,7,0
NGC3516-Qchain,8,0
NGC3516-Qchain,9,0
NGC3516-Qchain,10,0
NGC3516-Qchain,11,0
