pair_id,n_qso,n_qso_inclusive,companions_excluded,qso_names,qso_types,qso_offsets_arcmin
NGC4319-Mrk205,2,3,MARK 205,XMM J12208+7518;XMM J12213+7516,QX;KX,3.738;3.412
NGC7603-NGC7603B,5,5,,2SLAQ J231840.26+001602.5;SDSS J231842.78+001231.0;SDSS J231854.55+001221.4;2SLAQ J231856.30+001157.4;2SLAQ J231900.82+001226.5,QX;Q;Q;K;QX,4.332;4.062;2.334;2.677;2.426
NGC3067-3C232,0,1,3C 232,,,
NGC1073-QSOs,2,5,NGC 1073 U2;NGC 1073 U1;PKS 0241+011,SDSS J024323.93+012550.1;SDSS J024359.93+012344.0,Q;Q,5.304;4.975
NGC7319-QSO,2,3,Q 2233+337,ChaMP J223551.8+340105;ChaMP J223557.6+340353,QX;QX,3.516;5.478
NGC1199-companion,0,0,,,,
NGC3628-XQSO,4,5,WEE 51,1WGA J1120.2+1332;1WGA J1120.4+1340;1WGA J1120.6+1336;WEE 52,QX;QX;AX;QX,2.957;5.513;5.627;5.984
NGC4258-QSOs,2,2,,SDSS J121848.86+471447.8;SDSS J121925.80+471631.1,QX;AX,3.734;5.075
NGC2639-QSOs,1,1,,SDSS J084355.44+501227.2,Q,2.784
NGC1097-jetQSOs,0,0,,,,
NGC1232-NGC1232A,0,0,,,,
NGC3516-Qchain,0,1,1WGA J1107.7+7232,,,
