pair_id,role,object,status,nearest_entry_is_host,pgc,match_separation_arcsec,vcmb_kms,distance_modulus,e_distance_modulus,distance_mpc,e_distance_mpc,methods,literature_z,z_distance_mpc_h70,distance_ratio_cf4_over_z
NGC4319-Mrk205,host,NGC 4319,not_in_cf4,,,,,,,,,,,,
NGC4319-Mrk205,companion,MRK 0205,not_in_cf4,,,,,,,,,,,,
NGC7603-NGC7603B,host,NGC 7603,measured,True,71035,1.0192932999000415,8786.0,35.27199935913086,0.33000001311302185,113.34434884565088,17.225011214249854,,0.0295,126.34110729999998,0.8971296141683484
NGC7603-NGC7603B,companion,NGC 7603B,no_cf4_match,True,71035,59.28447675848312,8786.0,35.27199935913086,0.33000001311302185,113.34434884565088,17.225011214249854,,0.0565,241.9753411,0.46841280739763314
NGC3067-3C232,host,NGC 3067,measured,True,28805,0.7059686749781132,1738.0,31.684999465942383,0.4300000071525574,21.727006445039862,4.302432250959184,tully_fisher,0.0049,20.985472059999996,1.0353356066005917
NGC3067-3C232,companion,3C 232,no_cf4_match,True,28805,110.57706842676704,1738.0,31.684999465942383,0.4300000071525574,21.727006445039862,4.302432250959184,tully_fisher,0.533,2282.7054302,0.0095180946948272
NGC1073-QSOs,host,NGC 1073,not_in_cf4,,,,,,,,,,,,
NGC1073-QSOs,companion,QSO B0240+011,not_in_cf4,,,,,,,,,,,,
NGC1073-QSOs,companion,QSO B0241+011,not_in_cf4,,,,,,,,,,,,
NGC1073-QSOs,companion,[VV96] J024333.6+012222,not_in_cf4,,,,,,,,,,,,
NGC7319-QSO,host,NGC 7319,no_cf4_match,False,69260,86.60353125890843,6238.0,34.72200012207031,0.3799999952316284,87.98325489020533,15.396758573685592,,0.0225,96.36186149999999,0.913050594090125
NGC7319-QSO,companion,[VV2006] J223603.7+335824,no_cf4_match,False,69260,84.16244930932997,6238.0,34.72200012207031,0.3799999952316284,87.98325489020533,15.396758573685592,,2.114,9053.732231599999,0.009717898943721765
NGC1199-companion,host,NGC 1199,measured,True,11527,1.867302108466917,2393.0,32.683998107910156,0.3199999928474426,34.41910883609822,5.0721872095167,surface_brightness_fluctuation,0.0083,35.54682002,0.9682753286154068
NGC1199-companion,companion,2MASXi J0303366-153740,no_cf4_match,True,11527,57.40358857706029,2393.0,32.683998107910156,0.3199999928474426,34.41910883609822,5.0721872095167,surface_brightness_fluctuation,0.044,188.44097359999998,0.18265193698881538
NGC3628-XQSO,host,NGC 3628,measured,True,34697,2.7045298338650237,1192.0,30.135000228881836,0.4000000059604645,10.641431303892324,1.9602241162866276,tully_fisher,0.002822,12.085918806799999,0.8804817799954976
NGC3628-XQSO,companion,WEE 51,not_in_cf4,,,,,,,,,,,,
NGC4258-QSOs,host,NGC 4258,measured,True,39600,0.7500083127449156,652.0,29.38800048828125,0.02500000037252903,7.543972518331142,0.08685319460754362,tully_fisher;surface_brightness_fluctuation;cepheid;tip_red_giant_branch;maser,0.0015,6.424124099999999,1.174319238062531
NGC4258-QSOs,companion,SDSS J121902.21+470505.4,no_cf4_match,False,39615,74.73417556792393,481.0,29.260000228881836,0.019999999552965164,7.112135886180686,0.06550519081931544,tip_red_giant_branch,0.398,1704.5342612,0.004172480452914868
NGC4258-QSOs,companion,SDSS J121952.31+472058.5,not_in_cf4,,,,,,,,,,,,
NGC2639-QSOs,host,NGC 2639,not_in_cf4,,,,,,,,,,,,
NGC2639-QSOs,companion,SDSS J084331.40+500227.0,not_in_cf4,,,,,,,,,,,,
NGC2639-QSOs,companion,SDSS J084326.65+500845.6,not_in_cf4,,,,,,,,,,,,
NGC1097-jetQSOs,host,NGC 1097,measured,True,10488,0.4200062374450107,1105.0,30.885000228881836,0.4000000059604645,15.031421245271774,2.768890160129821,tully_fisher,0.00424,18.158857456,0.8277735139280546
NGC1097-jetQSOs,companion,CEMM J1779.9BL  2,not_in_cf4,,,,,,,,,,,,
NGC1097-jetQSOs,companion,WISP 257  129,not_in_cf4,,,,,,,,,,,,
NGC1232-NGC1232A,host,NGC 1232,not_in_cf4,,,,,,,,,,,,
NGC1232-NGC1232A,companion,NGC 1232A,not_in_cf4,,,,,,,,,,,,
NGC3516-Qchain,host,NGC 3516,not_in_cf4,,,,,,,,,,,,
NGC3516-Qchain,companion,[VV98] J110833.2+722610,not_in_cf4,,,,,,,,,,,,
NGC3516-Qchain,companion,1WGA J1106.2+7244,not_in_cf4,,,,,,,,,,,,
NGC3516-Qchain,companion,NuSTAR J110752+7230.7,not_in_cf4,,,,,,,,,,,,
NGC3516-Qchain,companion,1WGA J1105.4+7238,not_in_cf4,,,,,,,,,,,,
NGC3516-Qchain,companion,1WGA J1107.7+7232,not_in_cf4,,,,,,,,,,,,
