nest,pgc,dv_kms
100001,44628,748.0
100001,43895,2003.0
100001,44298,929.0
100001,44323,330.0
100001,44840,1586.0
100001,44938,1466.0
100001,43981,1454.0
100001,44737,2164.0
100001,44114,489.0
100001,44896,727.0
100001,44899,-1008.0
100001,44178,1189.0
100001,45133,534.0
100001,45253,452.0
100001,44539,1542.0
100001,43399,495.0
100001,45233,-552.0
100001,44908,937.0
100001,44945,1320.0
100001,44828,2443.0
100001,43726,649.0
100001,45358,575.0
100001,44144,3.0
100001,44481,1339.0
100001,44424,-564.0
100001,44534,739.0
100001,44037,554.0
100001,43863,-140.0
100001,44686,269.0
100001,44973,868.0
100001,43437,1254.0
100001,44502,2016.0
100001,44667,2075.0
100001,44263,1072.0
100001,44848,1234.0
100001,44587,428.0
100001,44405,773.0
100001,44795,848.0
100001,44921,687.0
100001,44438,1499.0
100001,44566,320.0
100001,44736,473.0
100001,44068,673.0
100001,44885,885.0
100001,44537,1636.0
100001,45542,43.0
100001,44633,-348.0
100001,44394,945.0
100001,44138,-17.0
100001,44043,958.0
100001,44682,1771.0
100001,43848,662.0
100001,44524,1121.0
100001,45055,-1106.0
100001,43514,1187.0
100001,44324,-424.0
100001,44337,900.0
100001,43618,1635.0
100001,44818,539.0
100001,43455,-29.0
100001,83717,1487.0
100001,44819,-663.0
100001,45032,1833.0
100001,43773,-291.0
100001,44808,-77.0
100001,44467,727.0
100001,44975,1168.0
100001,43708,-56.0
100001,44268,1044.0
100001,44697,-558.0
100001,45406,-204.0
100001,45328,1532.0
100001,45027,-232.0
100001,44487,1557.0
100001,44044,596.0
100001,44148,626.0
100001,45318,1522.0
100001,44553,605.0
100001,44799,1093.0
100001,43930,578.0
100001,44422,1259.0
100001,44768,-510.0
100001,43539,908.0
100001,44176,-196.0
100001,44544,1268.0
100001,43874,-3.0
100001,44929,1144.0
100001,45471,195.0
100001,44200,1208.0
100001,45023,1000.0
100001,44229,1094.0
100001,45097,188.0
100001,43875,1161.0
100001,44903,-1016.0
100001,45505,1153.0
100001,44640,1663.0
100001,45271,627.0
100001,44722,921.0
100001,1813789,902.0
100001,44485,370.0
100001,44449,-449.0
100001,44319,506.0
100001,43995,969.0
100001,43583,497.0
100001,44760,786.0
100001,44658,263.0
100001,44322,824.0
100001,45077,408.0
100001,45082,-370.0
100001,44508,-544.0
100001,44714,820.0
100001,44632,-441.0
100001,44822,179.0
100001,44603,355.0
100001,45140,-103.0
100001,44212,495.0
100001,44928,-669.0
100001,44137,460.0
100001,43619,-618.0
100001,44621,-643.0
100001,44551,132.0
100001,43509,-21.0
100001,94039,-139.0
100001,44151,-182.0
100001,45162,-531.0
100001,197657,-62.0
100001,45129,-850.0
100001,44563,-816.0
100001,43535,-818.0
100001,45003,-910.0
100001,44832,-1510.0
100001,44578,-1924.0
100001,44568,-1675.0
100001,44612,-1774.0
100001,44664,3101.0
100002,40153,567.0
100002,43375,103.0
100002,43944,95.0
100002,42442,693.0
100002,42396,-388.0
100002,39173,-7.0
100002,39028,-1150.0
100002,42699,-729.0
100002,41024,948.0
100002,43707,219.0
100002,39224,-1087.0
100002,40515,-289.0
100002,43303,383.0
100002,40622,-1143.0
100002,40295,190.0
100002,39362,-1171.0
100002,39907,-116.0
100002,41812,974.0
100002,39974,93.0
100002,39676,357.0
100002,39950,119.0
100002,40614,-95.0
100002,40245,-62.0
100002,42096,737.0
100002,40643,730.0
100002,40516,705.0
100002,40484,60.0
100002,39393,-143.0
100002,41472,495.0
100002,41365,-77.0
100002,41618,140.0
100002,41013,690.0
100002,41160,549.0
100002,40231,24.0
100002,41652,-62.0
100002,40249,129.0
100002,42574,788.0
100002,39754,352.0
100002,39398,-102.0
100002,40828,712.0
100002,39965,261.0
100002,39413,-65.0
100002,41772,-554.0
100002,41839,379.0
100002,40209,-532.0
100002,40240,301.0
100002,41383,749.0
100002,41811,1025.0
100002,42647,897.0
100002,41189,1352.0
100002,42319,1448.0
100002,40851,458.0
100002,42427,966.0
100002,41164,-412.0
100002,40251,2.0
100002,41923,1392.0
100002,41148,248.0
100002,41363,-18.0
100002,40252,-243.0
100002,40342,144.0
100002,41339,-117.0
100002,40621,441.0
100002,40051,52.0
100002,40439,-223.0
100002,41169,397.0
100002,42447,-145.0
100002,39206,-379.0
100002,40607,189.0
100002,40745,278.0
100002,40727,-89.0
100002,40743,398.0
100002,40273,421.0
100002,40317,247.0
100002,40280,-80.0
100002,43146,76.0
100002,40801,130.0
100002,42521,-384.0
100002,41847,-405.0
100002,40321,-265.0
100002,41517,1284.0
100002,39578,1418.0
100002,41361,304.0
100002,42831,107.0
100002,41228,1250.0
100002,42168,513.0
100002,42069,1238.0
100002,40455,57.0
100002,40581,1538.0
100002,42401,872.0
100002,41260,350.0
100002,41104,204.0
100002,42064,1278.0
100002,41111,934.0
100002,40850,-86.0
100002,42149,1283.0
100002,42545,865.0
100002,41538,341.0
100002,42816,387.0
100002,40898,-205.0
100002,42857,34.0
100002,42051,137.0
100002,40442,-58.0
100002,39710,8.0
100002,40105,435.0
100002,41297,347.0
100002,40816,895.0
100002,41241,585.0
100002,42728,155.0
100002,40785,545.0
100002,42628,-603.0
100002,42917,73.0
100002,42544,1273.0
100002,41934,-529.0
