idx,subCl,spCl,e_zsp
37273,STARFORMING,GALAXY,1e-05
52504,STARBURST,GALAXY,1e-05
27805,,,
65728,AGN,GALAXY,1e-05
47147,,GALAXY,1e-05
59914,,,
74808,,,
61774,,GALAXY,4e-05
53187,,GALAXY,1e-05
11168,,GALAXY,2e-05
80328,STARFORMING,GALAXY,1e-05
45633,,GALAXY,1e-05
7691,,,
28086,,GALAXY,2e-05
55503,,,
39315,,GALAXY,2e-05
66845,,GALAXY,2e-05
23961,,GALAXY,3e-05
2068,,GALAXY,2e-05
54167,,GALAXY,1e-05
21836,,GALAXY,2e-05
66890,STARFORMING,GALAXY,1e-05
39292,,GALAXY,1e-05
31139,,GALAXY,1e-05
64418,,GALAXY,2e-05
42731,,GALAXY,2e-05
40764,,GALAXY,1e-05
47709,,GALAXY,3e-05
17194,,GALAXY,2e-05
10501,,,
6829,AGN,GALAXY,2e-05
43435,,,
28432,,GALAXY,2e-05
61312,STARFORMING,GALAXY,1e-05
53179,,GALAXY,1e-05
50501,,,
57613,,GALAXY,1e-05
20478,,GALAXY,4e-05
81631,,,
30312,STARFORMING,GALAXY,1e-05
37510,STARFORMING,GALAXY,1e-05
33986,,GALAXY,1e-05
33977,,,
63829,,GALAXY,2e-05
153,STARFORMING,GALAXY,1e-05
39415,AGN,GALAXY,1e-05
12593,,,
68609,STARFORMING,GALAXY,1e-05
74827,STARFORMING,GALAXY,1e-05
100,,,
80642,STARFORMING,GALAXY,1e-05
61282,,GALAXY,2e-05
47190,,GALAXY,2e-05
80340,,,
11990,,,
70747,,GALAXY,2e-05
81618,,GALAXY,1e-05
76932,,GALAXY,1e-05
2990,,GALAXY,2e-05
49732,,GALAXY,1e-05
45576,,GALAXY,2e-05
6082,,,
78696,,,
48696,STARFORMING,GALAXY,1e-05
50938,STARFORMING,GALAXY,1e-05
31597,,,
4995,,,
43484,STARFORMING,GALAXY,1e-05
32199,,GALAXY,3e-05
46960,STARFORMING,GALAXY,2e-05
30397,BROADLINE,GALAXY,1e-05
28586,STARFORMING,GALAXY,1e-05
22404,,GALAXY,2e-05
45145,STARFORMING,GALAXY,1e-05
48799,,GALAXY,1e-05
44748,STARFORMING,GALAXY,1e-05
3459,,GALAXY,2e-05
10708,STARFORMING,GALAXY,3e-05
11291,AGN,GALAXY,2e-05
29591,,,
20007,,,
40953,STARFORMING,GALAXY,1e-05
81119,,,
14777,,GALAXY,1e-05
73312,,,
12495,BROADLINE,GALAXY,1e-05
18158,,GALAXY,3e-05
63260,,,
56644,STARFORMING,GALAXY,1e-05
80240,STARFORMING,GALAXY,1e-05
7013,,GALAXY,3e-05
45816,,GALAXY,2e-05
24749,,GALAXY,3e-05
59678,,GALAXY,2e-05
52327,,GALAXY,3e-05
44209,,,
33185,,GALAXY,2e-05
705,,GALAXY,3e-05
5169,,,
68129,,,
18341,,GALAXY,1e-05
66208,,GALAXY,3e-05
28510,,GALAXY,2e-05
45748,,GALAXY,1e-05
24695,,,
2966,,GALAXY,3e-05
57877,,,
59864,,,
65673,STARFORMING,GALAXY,1e-05
80880,STARBURST,GALAXY,0.0
65675,BROADLINE,GALAXY,1e-05
3214,,GALAXY,3e-05
28069,BROADLINE,GALAXY,2e-05
59898,,,
62895,,GALAXY,1e-05
33204,,,
27836,,GALAXY,4e-05
57891,,GALAXY,1e-05
1213,,,
59768,,GALAXY,1e-05
32217,,GALAXY,4e-05
52406,,GALAXY,1e-05
72712,,GALAXY,2e-05
62862,,GALAXY,1e-05
14743,,GALAXY,4e-05
26672,,GALAXY,2e-05
50997,,GALAXY,3e-05
843,,GALAXY,2e-05
7908,,GALAXY,2e-05
56878,,GALAXY,3e-05
64221,BROADLINE,GALAXY,1e-05
5825,,,
36370,,,
16784,,GALAXY,3e-05
40410,,GALAXY,1e-05
23476,,GALAXY,1e-05
48325,,GALAXY,1e-05
42297,,,
60288,,GALAXY,2e-05
2633,,GALAXY,2e-05
2795,,GALAXY,3e-05
33680,,,
42303,,,
33665,,GALAXY,3e-05
57247,,,
48461,,GALAXY,1e-05
60295,,GALAXY,2e-05
7079,,GALAXY,3e-05
61354,,GALAXY,2e-05
37765,,GALAXY,1e-05
27669,AGN,GALAXY,1e-05
63139,,GALAXY,2e-05
65944,,GALAXY,2e-05
47403,STARFORMING,GALAXY,2e-05
66555,,GALAXY,2e-05
39592,STARFORMING,GALAXY,1e-05
77402,STARFORMING,GALAXY,1e-05
14113,,,
20828,,GALAXY,2e-05
24544,,GALAXY,2e-05
66657,,GALAXY,3e-05
63900,AGN,GALAXY,2e-05
65959,STARFORMING,GALAXY,1e-05
12979,,GALAXY,1e-05
39580,,,
17241,,GALAXY,2e-05
78613,STARFORMING,GALAXY,0.0
37612,,GALAXY,4e-05
71583,,GALAXY,2e-05
33565,,,
71582,STARFORMING,GALAXY,1e-05
484,,,
11212,,,
9761,,GALAXY,3e-05
3276,,,
50602,,GALAXY,1e-05
76778,,,
55896,STARFORMING,GALAXY,1e-05
66607,STARFORMING,GALAXY,1e-05
80541,STARFORMING,GALAXY,1e-05
26456,STARFORMING,GALAXY,3e-05
45272,,,
36497,,GALAXY,3e-05
36424,,,
1253,,,
52933,,,
20346,,GALAXY,2e-05
57199,,GALAXY,2e-05
24509,,GALAXY,3e-05
57185,,,
6604,,GALAXY,2e-05
43314,,,
55838,,,
44505,,GALAXY,4e-05
52926,STARBURST,QSO,2e-05
34342,,GALAXY,3e-05
39954,,GALAXY,5e-05
23173,BROADLINE,GALAXY,2e-05
6850,,GALAXY,2e-05
47289,,,
53972,,GALAXY,3e-05
1914,BROADLINE,GALAXY,2e-05
52738,,GALAXY,3e-05
36192,STARFORMING,GALAXY,1e-05
40154,,GALAXY,3e-05
71983,,GALAXY,3e-05
66141,,GALAXY,2e-05
76590,STARFORMING,GALAXY,2e-05
78686,STARFORMING,GALAXY,1e-05
17357,,,
55655,,GALAXY,3e-05
45471,STARBURST,GALAXY,0.0
14649,,GALAXY,4e-05
15206,STARFORMING,GALAXY,2e-05
66780,,GALAXY,2e-05
53166,,GALAXY,2e-05
10025,,,
60044,,GALAXY,1e-05
80371,,,
955,,GALAXY,2e-05
8607,,GALAXY,3e-05
23461,AGN,GALAXY,0.0
12951,,GALAXY,3e-05
70220,,,
13391,STARFORMING,GALAXY,2e-05
36162,,GALAXY,1e-05
29879,,GALAXY,3e-05
80385,,,
60642,,GALAXY,1e-05
6410,,GALAXY,3e-05
23592,,,
53939,STARFORMING,GALAXY,1e-05
48298,STARFORMING,GALAXY,1e-05
65820,STARBURST,GALAXY,1e-05
26526,,GALAXY,2e-05
5809,,GALAXY,4e-05
48280,STARFORMING,GALAXY,1e-05
16639,,GALAXY,4e-05
61550,STARFORMING,GALAXY,1e-05
68917,,,
12988,,,
17981,,GALAXY,3e-05
40514,STARFORMING,GALAXY,1e-05
50719,AGN,GALAXY,1e-05
74427,BROADLINE,GALAXY,1e-05
37771,,,
53098,,,
1749,,GALAXY,2e-05
74900,,,
79289,,GALAXY,3e-05
65835,STARFORMING,GALAXY,2e-05
70261,,,
76614,STARFORMING,GALAXY,1e-05
17347,,GALAXY,3e-05
25710,,GALAXY,3e-05
57419,,GALAXY,2e-05
1918,,,
67943,,GALAXY,1e-05
50527,,,
47345,STARFORMING,GALAXY,1e-05
39502,,,
27772,STARFORMING,GALAXY,2e-05
20276,,GALAXY,2e-05
5952,,GALAXY,5e-05
13047,,,
51094,,GALAXY,2e-05
75444,,GALAXY,3e-05
60961,,GALAXY,3e-05
26183,STARFORMING,GALAXY,2e-05
38896,,,
12059,,,
65135,STARFORMING,GALAXY,1e-05
37120,,GALAXY,4e-05
739,,GALAXY,2e-05
17783,STARFORMING,GALAXY,2e-05
38915,,GALAXY,2e-05
15997,,GALAXY,2e-05
72258,,GALAXY,3e-05
41353,,GALAXY,2e-05
2390,,GALAXY,3e-05
71292,,,
81988,STARFORMING,GALAXY,1e-05
46591,,,
75679,STARFORMING,GALAXY,1e-05
41692,,,
67407,STARFORMING,GALAXY,1e-05
12631,,,
51820,STARFORMING,GALAXY,1e-05
30666,,GALAXY,2e-05
27195,,GALAXY,2e-05
78198,,,
22605,,GALAXY,1e-05
31699,AGN,GALAXY,1e-05
56420,,GALAXY,3e-05
58557,STARFORMING,GALAXY,1e-05
2835,,,
51458,STARFORMING,GALAXY,1e-05
25060,,GALAXY,3e-05
54900,,,
56240,,,
10356,,GALAXY,2e-05
47939,,,
38489,,GALAXY,2e-05
17603,,,
4381,,GALAXY,2e-05
65279,STARFORMING,GALAXY,1e-05
11817,,GALAXY,3e-05
35497,,GALAXY,1e-05
54528,,GALAXY,1e-05
46035,,,
45001,,GALAXY,3e-05
51950,,GALAXY,4e-05
43941,,GALAXY,3e-05
66321,STARBURST,GALAXY,1e-05
31383,,GALAXY,3e-05
67434,STARFORMING,GALAXY,1e-05
9396,STARFORMING,GALAXY,1e-05
10194,AGN,GALAXY,1e-05
78226,,,
35425,,,
24218,,GALAXY,1e-05
3530,,,
63361,,GALAXY,2e-05
8245,,GALAXY,3e-05
27254,,GALAXY,2e-05
29218,,,
26300,,,
30493,,,
41316,AGN,GALAXY,2e-05
27262,,,
28847,,GALAXY,1e-05
16230,,,
61118,,GALAXY,3e-05
51497,STARBURST,GALAXY,1e-05
31537,,GALAXY,4e-05
31531,,GALAXY,2e-05
49253,,,
41485,STARFORMING,GALAXY,1e-05
58885,,,
16088,AGN,GALAXY,1e-05
8532,,GALAXY,1e-05
69864,,,
56265,,GALAXY,2e-05
41616,,,
78830,,GALAXY,2e-05
72315,,GALAXY,2e-05
37300,,GALAXY,2e-05
49182,,GALAXY,2e-05
31541,,,
53477,,,
35044,STARFORMING,GALAXY,1e-05
13112,,GALAXY,3e-05
5614,,GALAXY,4e-05
11792,STARFORMING,GALAXY,1e-05
74610,STARFORMING,GALAXY,1e-05
20691,AGN,GALAXY,1e-05
19892,STARFORMING,GALAXY,1e-05
50232,,GALAXY,1e-05
13601,,,
46318,STARFORMING,GALAXY,1e-05
4805,,GALAXY,3e-05
16073,,,
77138,,GALAXY,1e-05
8968,,,
59037,,,
37308,,,
24270,,GALAXY,2e-05
56246,,GALAXY,1e-05
22643,,GALAXY,3e-05
17640,,GALAXY,3e-05
71702,,,
28860,,GALAXY,3e-05
41675,BROADLINE,GALAXY,1e-05
80045,STARFORMING,GALAXY,1e-05
44867,,GALAXY,2e-05
22630,,GALAXY,2e-05
20722,BROADLINE,GALAXY,2e-05
25028,,GALAXY,2e-05
49155,,GALAXY,2e-05
56370,,GALAXY,2e-05
81961,STARFORMING,GALAXY,1e-05
18413,,GALAXY,3e-05
27132,,GALAXY,2e-05
3551,,GALAXY,3e-05
35169,,,
82891,,GALAXY,1e-05
51557,,,
16115,STARBURST,GALAXY,1e-05
64794,,GALAXY,1e-05
41459,,,
79887,,GALAXY,1e-05
38806,,GALAXY,3e-05
46455,STARFORMING,GALAXY,1e-05
43776,BROADLINE,GALAXY,1e-05
31497,STARFORMING,GALAXY,1e-05
78059,,GALAXY,3e-05
38455,,GALAXY,2e-05
53741,BROADLINE,GALAXY,1e-05
53335,,GALAXY,2e-05
74051,,,
52222,,GALAXY,3e-05
8493,,GALAXY,1e-05
82669,STARFORMING,GALAXY,1e-05
12213,,GALAXY,4e-05
50122,,GALAXY,2e-05
17133,STARFORMING,GALAXY,2e-05
19317,,,
9030,,GALAXY,2e-05
15475,,GALAXY,1e-05
59531,,GALAXY,2e-05
22887,,GALAXY,2e-05
76195,,,
24329,,GALAXY,3e-05
78755,STARFORMING,GALAXY,1e-05
74707,STARBURST,GALAXY,1e-05
49498,,,
5676,,,
34429,,,
29375,,GALAXY,3e-05
35624,,GALAXY,2e-05
22019,,,
46792,STARFORMING,GALAXY,1e-05
50346,AGN,GALAXY,2e-05
1948,,GALAXY,2e-05
32741,,,
40051,,,
45894,,,
169,,GALAXY,2e-05
53290,STARFORMING,GALAXY,1e-05
15500,,GALAXY,2e-05
63652,,,
59639,,,
24181,,,
9338,,,
39093,,GALAXY,2e-05
21174,,,
33106,,GALAXY,2e-05
74076,,GALAXY,1e-05
49540,STARFORMING,GALAXY,2e-05
71757,,GALAXY,2e-05
69414,STARFORMING,GALAXY,1e-05
39090,STARFORMING,GALAXY,1e-05
28652,,,
29447,,GALAXY,2e-05
45108,,,
32734,,,
37443,,,
22909,,GALAXY,3e-05
56610,,,
79600,STARFORMING,GALAXY,2e-05
4924,,GALAXY,2e-05
35699,,GALAXY,2e-05
32064,,GALAXY,1e-05
51268,,GALAXY,2e-05
64714,,,
13060,,GALAXY,1e-05
80756,,,
82736,STARFORMING,GALAXY,1e-05
54473,,GALAXY,2e-05
38369,,GALAXY,3e-05
38408,,GALAXY,2e-05
22496,,GALAXY,3e-05
29331,,GALAXY,2e-05
73171,STARFORMING,GALAXY,1e-05
71321,STARBURST,GALAXY,1e-05
49011,,GALAXY,2e-05
13735,,GALAXY,2e-05
30469,BROADLINE,GALAXY,2e-05
56549,,,
37422,STARFORMING,GALAXY,2e-05
77075,STARFORMING,GALAXY,1e-05
26143,,GALAXY,3e-05
41226,AGN,GALAXY,2e-05
62041,,,
14885,,GALAXY,3e-05
46714,,GALAXY,1e-05
74005,,,
74004,,,
37412,,,
58313,,GALAXY,1e-05
45970,STARFORMING,GALAXY,2e-05
14863,STARFORMING,GALAXY,1e-05
47863,,,
23337,STARFORMING,GALAXY,3e-05
62054,,,
31995,BROADLINE,GALAXY,2e-05
55036,,GALAXY,1e-05
81870,STARFORMING,GALAXY,1e-05
65334,,,
17831,STARFORMING,GALAXY,1e-05
18077,,GALAXY,2e-05
29360,,,
1110,,GALAXY,2e-05
39684,,,
17242,,,
53609,,GALAXY,1e-05
53590,,GALAXY,2e-05
17240,,,
63259,STARFORMING,GALAXY,2e-05
39568,BROADLINE,GALAXY,1e-05
53654,,,
73251,AGN,GALAXY,1e-05
21890,,GALAXY,3e-05
30816,,,
30718,BROADLINE,GALAXY,1e-05
63389,STARFORMING,GALAXY,1e-05
39588,,,
3942,,GALAXY,3e-05
39811,,,
1085,,GALAXY,3e-05
63326,,GALAXY,3e-05
21827,,GALAXY,2e-05
17253,,GALAXY,1e-05
53649,,,
39571,STARFORMING,GALAXY,2e-05
78806,,GALAXY,1e-05
17166,,GALAXY,3e-05
63336,,GALAXY,2e-05
1944,,,
3951,,GALAXY,1e-05
53648,,,
39762,,,
78742,STARBURST,GALAXY,1e-05
53592,STARFORMING,GALAXY,1e-05
30802,,GALAXY,2e-05
30914,,,
73393,STARFORMING,GALAXY,1e-05
53723,,GALAXY,2e-05
30844,,GALAXY,2e-05
63210,STARFORMING,GALAXY,1e-05
63341,,GALAXY,1e-05
78793,STARFORMING,GALAXY,1e-05
78665,STARFORMING,GALAXY,1e-05
63367,,,
39672,,GALAXY,2e-05
53697,,,
21874,,GALAXY,2e-05
39748,,,
53531,,GALAXY,4e-05
39606,,GALAXY,2e-05
63247,,GALAXY,1e-05
30756,,GALAXY,4e-05
39678,,,
17225,,GALAXY,2e-05
17104,STARFORMING,GALAXY,1e-05
5812,,GALAXY,4e-05
39677,,GALAXY,2e-05
39619,,GALAXY,2e-05
21808,,GALAXY,2e-05
30740,,GALAXY,3e-05
53534,STARFORMING,GALAXY,1e-05
39780,,GALAXY,3e-05
5820,,GALAXY,2e-05
78787,STARFORMING,GALAXY,1e-05
10328,,,
17084,,GALAXY,4e-05
30838,,,
8542,,GALAXY,1e-05
78717,,,
39712,AGN,GALAXY,1e-05
17074,AGN,GALAXY,2e-05
17110,,GALAXY,2e-05
39801,,,
53515,,GALAXY,3e-05
53574,STARBURST,GALAXY,1e-05
53541,,GALAXY,1e-05
30765,,GALAXY,3e-05
63285,,GALAXY,2e-05
73288,,GALAXY,1e-05
73292,,GALAXY,1e-05
39681,,GALAXY,2e-05
1106,,,
78767,,GALAXY,2e-05
53623,STARFORMING,GALAXY,1e-05
17073,,GALAXY,2e-05
16579,,GALAXY,2e-05
78622,STARFORMING,GALAXY,1e-05
10209,,GALAXY,3e-05
17547,,GALAXY,2e-05
12818,STARFORMING,GALAXY,1e-05
73687,,,
54424,,,
73690,,,
54443,,,
54444,,GALAXY,2e-05
54447,,GALAXY,3e-05
62728,STARFORMING,GALAXY,1e-05
38967,,GALAXY,1e-05
21550,,,
8913,,GALAXY,2e-05
12813,AGN,GALAXY,1e-05
38959,,GALAXY,2e-05
31324,,GALAXY,3e-05
31331,,,
17568,,GALAXY,4e-05
17569,,GALAXY,2e-05
38950,,GALAXY,3e-05
54470,,GALAXY,2e-05
54477,,GALAXY,3e-05
62745,AGN,GALAXY,1e-05
54394,,GALAXY,1e-05
73677,,GALAXY,2e-05
31292,,GALAXY,2e-05
62847,,,
12004,,,
31229,,GALAXY,1e-05
21610,,GALAXY,4e-05
31231,,GALAXY,1e-05
31247,,,
10225,,,
39110,,,
5695,,GALAXY,2e-05
73653,,,
21598,,GALAXY,2e-05
54349,AGN,GALAXY,1e-05
62811,,,
31348,,GALAXY,2e-05
62806,,,
78335,,,
4036,,GALAXY,1e-05
31284,,GALAXY,3e-05
5689,,,
17522,,GALAXY,2e-05
8892,BROADLINE,GALAXY,1e-05
62772,,,
39062,,GALAXY,2e-05
78321,,,
62770,,,
31290,,,
78313,STARFORMING,GALAXY,1e-05
54359,STARFORMING,GALAXY,1e-05
78260,STARFORMING,GALAXY,1e-05
62695,,,
78183,,,
17635,BROADLINE,GALAXY,2e-05
62581,STARFORMING,GALAXY,1e-05
54637,,,
54644,,GALAXY,2e-05
21486,STARFORMING,GALAXY,2e-05
38835,STARFORMING,GALAXY,1e-05
21477,,GALAXY,2e-05
54662,,,
54664,BROADLINE,GALAXY,2e-05
54675,,GALAXY,2e-05
78149,STARFORMING,GALAXY,1e-05
62543,BROADLINE,GALAXY,1e-05
31507,STARFORMING,GALAXY,1e-05
21494,,,
756,,GALAXY,3e-05
31520,,,
54692,,GALAXY,3e-05
78140,,GALAXY,3e-05
1854,,,
12788,,,
38777,,GALAXY,2e-05
38771,,GALAXY,2e-05
54718,,GALAXY,2e-05
54719,,GALAXY,3e-05
62462,STARFORMING,GALAXY,2e-05
78124,STARFORMING,GALAXY,1e-05
21438,,,
31567,,GALAXY,2e-05
54687,,,
54307,STARFORMING,GALAXY,1e-05
31461,,,
