idx,subCl,spCl,e_zsp
39313,STARFORMING,GALAXY,1e-05
157090,STARFORMING,GALAXY,1e-05
38914,,GALAXY,2e-05
4463,,GALAXY,1e-05
38915,STARFORMING,GALAXY,1e-05
116753,,GALAXY,3e-05
38924,STARFORMING,GALAXY,1e-05
60441,,GALAXY,3e-05
116742,STARFORMING,GALAXY,1e-05
60420,,GALAXY,1e-05
134965,STARFORMING,GALAXY,1e-05
157717,,,
92841,,GALAXY,2e-05
117335,,GALAXY,2e-05
147527,STARFORMING,GALAXY,1e-05
18798,,GALAXY,2e-05
117289,,GALAXY,2e-05
146530,,GALAXY,3e-05
18598,STARFORMING,GALAXY,1e-05
146514,STARFORMING,GALAXY,2e-05
157085,STARFORMING,GALAXY,2e-05
92441,STARFORMING,GALAXY,2e-05
134662,STARBURST,GALAXY,1e-05
116849,,,
146743,,GALAXY,2e-05
20883,,GALAXY,3e-05
91108,STARBURST,GALAXY,1e-05
62374,,GALAXY,2e-05
117873,,GALAXY,4e-05
157294,STARFORMING,GALAXY,1e-05
62327,,GALAXY,1e-05
91566,,,
93171,STARFORMING,GALAXY,0.0
62234,STARFORMING,GALAXY,3e-05
62208,,,
20000,,GALAXY,2e-05
116890,STARFORMING,GALAXY,1e-05
147746,STARFORMING,GALAXY,1e-05
147720,,GALAXY,1e-05
134499,,GALAXY,3e-05
38871,,GALAXY,3e-05
19776,,GALAXY,3e-05
19770,,GALAXY,3e-05
117954,,GALAXY,6e-05
60355,,,
94712,,GALAXY,2e-05
115433,STARFORMING,GALAXY,1e-05
4359,,,
59739,,GALAXY,3e-05
40503,STARFORMING,GALAXY,1e-05
40517,,GALAXY,3e-05
18984,,GALAXY,3e-05
18971,,GALAXY,3e-05
135518,,GALAXY,2e-05
40606,STARFORMING,GALAXY,3e-05
40614,,,
135534,STARFORMING,GALAXY,2e-05
18886,,GALAXY,3e-05
116609,,,
116572,,,
18864,,GALAXY,3e-05
40458,,GALAXY,3e-05
135346,STARFORMING,GALAXY,1e-05
59817,,GALAXY,2e-05
59827,STARFORMING,GALAXY,1e-05
8381,,,
60296,STARFORMING,GALAXY,1e-05
93334,,,
135186,,GALAXY,2e-05
93355,,GALAXY,4e-05
40379,STARFORMING,GALAXY,1e-05
157877,STARBURST,GALAXY,1e-05
60358,,GALAXY,1e-05
40387,,GALAXY,3e-05
157900,,,
40909,STARFORMING,GALAXY,3e-05
60099,,,
60082,,GALAXY,3e-05
40949,,GALAXY,2e-05
18528,,GALAXY,2e-05
5976,,GALAXY,3e-05
116226,,GALAXY,4e-05
135229,STARFORMING,GALAXY,1e-05
91369,,GALAXY,4e-05
91335,,GALAXY,2e-05
117986,STARFORMING,GALAXY,1e-05
118514,STARFORMING,GALAXY,1e-05
133217,,,
63117,,GALAXY,2e-05
118490,,,
5751,,,
89593,,GALAXY,1e-05
89631,,GALAXY,2e-05
133274,STARFORMING,GALAXY,1e-05
156078,STARFORMING,GALAXY,1e-05
156090,STARFORMING,GALAXY,1e-05
63545,,,
63467,STARFORMING,GALAXY,1e-05
134084,,GALAXY,4e-05
147072,,,
20527,STARFORMING,GALAXY,1e-05
62527,,,
62492,,,
118632,STARFORMING,GALAXY,1e-05
119252,,GALAXY,3e-05
63156,,GALAXY,3e-05
88567,STARFORMING,GALAXY,1e-05
133108,,,
7979,,GALAXY,2e-05
118775,STARFORMING,GALAXY,1e-05
87272,,GALAXY,2e-05
64295,,GALAXY,2e-05
119602,,GALAXY,3e-05
64281,,GALAXY,2e-05
64270,,,
64255,,GALAXY,2e-05
89005,,GALAXY,3e-05
88776,,GALAXY,4e-05
21871,STARFORMING,GALAXY,1e-05
89060,,,
132507,,,
22305,,,
22276,,,
22248,,,
119418,,GALAXY,2e-05
64078,,GALAXY,1e-05
132490,,,
38351,,,
148374,STARBURST,GALAXY,1e-05
62878,,,
90223,,,
90299,,GALAXY,2e-05
156724,STARFORMING,GALAXY,1e-05
39442,,GALAXY,2e-05
39452,STARFORMING,GALAXY,1e-05
39458,,GALAXY,1e-05
118066,,GALAXY,5e-05
39519,,GALAXY,1e-05
117727,,GALAXY,2e-05
21005,,GALAXY,2e-05
134224,STARFORMING,GALAXY,1e-05
117689,,GALAXY,3e-05
21483,,,
8324,,GALAXY,2e-05
90961,,,
90962,,,
39529,BROADLINE,GALAXY,1e-05
59488,,,
156684,STARFORMING,GALAXY,1e-05
39139,,GALAXY,3e-05
118528,,,
89190,,,
38418,,GALAXY,2e-05
21225,STARFORMING,GALAXY,1e-05
