idx,e_zsp,f_zsp,spCl,angDist
39313,1e-05,0,GALAXY,0.0
157090,1e-05,0,GALAXY,0.0
38914,2e-05,0,GALAXY,0.0
4463,1e-05,0,GALAXY,0.0
38915,1e-05,0,GALAXY,0.0
116753,3e-05,0,GALAXY,0.0
38924,1e-05,0,GALAXY,0.0
60441,3e-05,0,GALAXY,0.0
116742,1e-05,0,GALAXY,0.0
60420,1e-05,0,GALAXY,0.0
134965,1e-05,0,GALAXY,0.0
157717,,0,,0.0
92841,2e-05,0,GALAXY,0.0
117335,2e-05,0,GALAXY,0.0
147527,1e-05,0,GALAXY,0.0
18798,2e-05,0,GALAXY,0.0
117289,2e-05,0,GALAXY,0.0
146530,3e-05,0,GALAXY,0.0
18598,1e-05,0,GALAXY,0.0
146514,2e-05,0,GALAXY,0.0
157085,2e-05,0,GALAXY,0.0
92441,2e-05,0,GALAXY,0.0
134662,1e-05,0,GALAXY,0.0
116849,,0,,0.0
146743,2e-05,0,GALAXY,0.0
20883,3e-05,0,GALAXY,0.0
91108,1e-05,0,GALAXY,0.0
62374,2e-05,0,GALAXY,0.0
117873,4e-05,0,GALAXY,0.0
157294,1e-05,0,GALAXY,0.0
62327,1e-05,0,GALAXY,0.0
91566,,0,,0.0
93171,0.0,0,GALAXY,0.0
62234,3e-05,0,GALAXY,0.0
62208,,0,,0.0
20000,2e-05,0,GALAXY,0.0
116890,1e-05,0,GALAXY,0.0
147746,1e-05,0,GALAXY,0.0
147720,1e-05,0,GALAXY,0.0
134499,3e-05,0,GALAXY,0.0
38871,3e-05,0,GALAXY,0.0
19776,3e-05,0,GALAXY,0.0
19770,3e-05,0,GALAXY,0.0
117954,6e-05,0,GALAXY,0.0
60355,,0,,0.0
94712,2e-05,0,GALAXY,0.0
115433,1e-05,0,GALAXY,0.0
4359,,0,,0.0
59739,3e-05,0,GALAXY,0.0
40503,1e-05,0,GALAXY,0.0
40517,3e-05,0,GALAXY,0.0
18984,3e-05,0,GALAXY,0.0
18971,3e-05,0,GALAXY,0.0
135518,2e-05,0,GALAXY,0.0
40606,3e-05,0,GALAXY,0.0
40614,,0,,0.0
135534,2e-05,0,GALAXY,0.0
18886,3e-05,0,GALAXY,0.0
116609,,0,,0.0
116572,,0,,0.0
18864,3e-05,0,GALAXY,0.0
40458,3e-05,0,GALAXY,0.0
135346,1e-05,0,GALAXY,0.0
59817,2e-05,0,GALAXY,0.0
59827,1e-05,0,GALAXY,0.0
8381,,0,,0.0
60296,1e-05,0,GALAXY,0.0
93334,,0,,0.0
135186,2e-05,0,GALAXY,0.0
93355,4e-05,0,GALAXY,0.0
40379,1e-05,0,GALAXY,0.0
157877,1e-05,0,GALAXY,0.0
60358,1e-05,0,GALAXY,0.0
40387,3e-05,0,GALAXY,0.0
157900,,0,,0.0
40909,3e-05,0,GALAXY,0.0
60099,,0,,0.0
60082,3e-05,0,GALAXY,0.0
40949,2e-05,0,GALAXY,0.0
18528,2e-05,0,GALAXY,0.0
5976,3e-05,0,GALAXY,0.0
116226,4e-05,0,GALAXY,0.0
135229,1e-05,0,GALAXY,0.0
91369,4e-05,0,GALAXY,0.0
91335,2e-05,0,GALAXY,0.0
117986,1e-05,0,GALAXY,0.0
118514,1e-05,0,GALAXY,0.0
133217,,0,,0.0
63117,2e-05,0,GALAXY,0.0
118490,,0,,0.0
5751,,0,,0.0
89593,1e-05,0,GALAXY,0.0
89631,2e-05,0,GALAXY,0.0
133274,1e-05,0,GALAXY,0.0
156078,1e-05,0,GALAXY,0.0
156090,1e-05,0,GALAXY,0.0
63545,,0,,0.0
63467,1e-05,0,GALAXY,0.0
134084,4e-05,0,GALAXY,0.0
147072,,0,,0.0
20527,1e-05,0,GALAXY,0.0
62527,,0,,0.0
62492,,0,,0.0
118632,1e-05,0,GALAXY,0.0
119252,3e-05,0,GALAXY,0.0
63156,3e-05,0,GALAXY,0.0
88567,1e-05,0,GALAXY,0.0
133108,,0,,0.0
7979,2e-05,0,GALAXY,0.0
