pair_id,x,a_int,sigma_a,point_type
NGC4319-Mrk205,0.0,1.0,0.001,host
NGC4319-Mrk205,1.0,0.9382517743742996,0.0012805811463950378,companion
NGC7603-NGC7603B,0.0,1.0,0.001,host
NGC7603-NGC7603B,1.0,0.9744439185991484,0.0013215898046503793,companion
NGC3067-3C232,0.0,1.0,0.001,host
NGC3067-3C232,1.0,0.6555120678408349,0.0007799732475497366,companion
NGC1073-QSOs,0.0,1.0,0.001,host
NGC1073-QSOs,1.0,0.6294930299431143,0.0007386604271254024,companion
NGC7319-QSO,0.0,1.0,0.001,host
NGC7319-QSO,1.0,0.3283558124598587,0.00033799907379109976,companion
NGC1199-companion,0.0,1.0,0.001,host
NGC1199-companion,1.0,0.9658045977011492,0.0013316513897088738,companion
NGC3628-XQSO,0.0,1.0,0.001,host
NGC3628-XQSO,1.0,0.4014044846000233,0.0004313183746461483,companion
NGC4258-QSOs,0.0,1.0,0.001,host
NGC4258-QSOs,1.0,0.7163805436337625,0.0008799158694531082,companion
NGC2639-QSOs,0.0,1.0,0.001,host
NGC2639-QSOs,1.0,0.774908031882281,0.0009695752283211509,companion
NGC1097-jetQSOs,0.0,1.0,0.001,host
NGC1097-jetQSOs,1.0,0.6606842105263158,0.0007885146658789926,companion
NGC1232-NGC1232A,0.0,1.0,0.001,host
NGC1232-NGC1232A,1.0,0.983698789640023,0.0013725249517923116,companion
NGC3516-Qchain,0.0,1.0,0.001,host
NGC3516-Qchain,1.0,0.5226943005181346,0.0005846454814793661,companion
NGC7603-NGC7603B,0.545607813399531,0.7401150251617542,0.000894388316718591,filament_knot
NGC7603-NGC7603B,0.9051116558813485,0.8282381335478682,0.001044611674770687,filament_knot
