family,x,resid_sigma,a_obs,a_pred
exponential,0.0,0.0,1.0,1.0
exponential,0.545607813399531,-261.9990568382816,0.7401150251617542,0.9744439205891795
exponential,0.9051116558813485,-139.96185241125724,0.8282381335478682,0.9744439185991872
exponential,1.0,0.0,0.9744439185991484,0.9744439185991484
tanh,0.0,0.0,1.0,1.0
tanh,0.545607813399531,-261.99908294614255,0.7401150251617542,0.9744439439397453
tanh,0.9051116558813485,-139.96185241123354,0.8282381335478682,0.9744439185991625
tanh,1.0,0.0,0.9744439185991484,0.9744439185991484
yukawa,0.0,0.7474373912929044,1.0,0.9992525626087071
yukawa,0.545607813399531,-288.28902607670204,0.7401150251617542,0.9979573619229115
yukawa,0.9051116558813485,-156.3051054562213,0.8282381335478682,0.9915162715336868
yukawa,1.0,0.0,0.9744439185991484,0.9744439185991484
nested_wells,0.0,0.005066922685093012,1.0,0.9999949330773149
nested_wells,0.545607813399531,-8.229821869474145e-08,0.7401150251617542,0.7401150252353608
nested_wells,0.9051116558813485,-3.122066148584905e-08,0.8282381335478682,0.8282381335804817
nested_wells,1.0,-2.7477979817633872e-08,0.9744439185991484,0.974443918635463
