pair_id,resolved_name,z,z_gal,delta_phi,xmm_off_arcsec,xmm_hr1,xmm_hr2,xmm_flux8,xmm_ext_arcsec,rxs_off_arcsec,rxs_hr1,rxs_hr2,cts_2rxs,xray_hardness,xray_hardness_src,first_off_arcsec,first_fpeak_mjy,first_fint_mjy,first_compactness,first_maj_arcsec,nvss_off_arcsec,nvss_s14_mjy,nvss_maj_arcsec,dr16q_off_arcsec,gmag,nvss_over_first
NGC4319-Mrk205,MRK 0205,0.0708,0.00468,0.06373694981579796,0.30146963878880884,0.038465,-0.12432,2.29731e-11,0.0,8.7625706210756,0.2879999876022339,0.20100000500679016,504.8,-0.12432,4XMM_HR2,,,,,,,,,,,
NGC3067-3C232,3C 232,0.533,0.0049,0.4223385658169012,,,,,,,,,,,,0.12433133613313634,1204.19,1228.72,1.020370539532798,0.8899999856948853,0.7040955701524733,1247.1,18.700000762939453,0.05392771023020602,16.0602,1.0149586561625106
NGC1073-QSOs,QSO B0240+011,0.59824,0.007,0.4619274100652775,,,,,,,,,,,,,,,,,,,,0.02684969588509565,18.149,
NGC1073-QSOs,QSO B0241+011,1.4,0.007,0.8684931236174747,,,,,,,,,,,,0.8086750578378423,40.14,56.94,1.4185351270553064,4.579999923706055,1.2838148651377665,66.7,19.600000381469727,,,1.1714085001756236
NGC1073-QSOs,[VV96] J024333.6+012222,1.945,0.007,1.073133203367125,,,,,,,,,,,,,,,,,,,,,,
NGC7319-QSO,[VV2006] J223603.7+335824,2.114,0.0225,1.1136574644769868,9.17509852831183,0.571671,-0.20815,1.49476e-12,0.0,28.965749893058337,0.6539999842643738,-0.5059999823570251,10.79,-0.20815,4XMM_HR2,,,,,,,,,,,
NGC3628-XQSO,WEE 51,1.4989999532699585,0.002822,0.913072607519966,0.012164545347941185,0.073709,-0.109649,7.77925e-14,0.0,,,,,-0.109649,4XMM_HR2,,,,,,,,,,,
NGC4258-QSOs,SDSS J121902.21+470505.4,0.40846,0.0015,0.3409980328012601,,,,,,,,,,,,,,,,,,,,,,
NGC4258-QSOs,SDSS J121952.31+472058.5,0.6535,0.0015,0.5013953773159745,0.4243234674941084,0.099857,0.07864,3.35195e-13,0.0,,,,,0.07864,4XMM_HR2,0.3773689085003118,1.9,0.99,0.5210526315789474,0.0,,,,0.11206753354139648,19.1857,
NGC2639-QSOs,SDSS J084331.40+500227.0,0.2971,0.0111,0.24909215624927375,,,,,,,,,,,,,,,,,,,,,,
NGC2639-QSOs,SDSS J084326.65+500845.6,0.3364,0.0111,0.27894058438524805,,,,,,,,,,,,,,,,,,,,,,
NGC1097-jetQSOs,CEMM J1779.9BL  2,0.53,0.00424,0.42103669887652817,,,,,,,,,,,,,,,,,,,,,,
NGC1097-jetQSOs,WISP 257  129,2.3342,0.00424,1.2000017340039777,,,,,,,,,,,,,,,,,,,,,,
NGC3516-Qchain,[VV98] J110833.2+722610,0.328,0.0088,0.2749125453856695,0.6736003062416233,0.124017,0.038494,2.77942e-13,0.0,,,,,0.038494,4XMM_HR2,,,,,,7.489807880294701,10.2,77.4000015258789,,,
NGC3516-Qchain,1WGA J1106.2+7244,0.6899999976158142,0.0088,0.5159670218556486,0.1829270014741095,0.187462,0.096538,3.01859e-13,0.0,,,,,0.096538,4XMM_HR2,,,,,,,,,,,
NGC3516-Qchain,NuSTAR J110752+7230.7,0.901,0.0088,0.6336185578377195,,,,,,,,,,,,,,,,,,,,,,
NGC3516-Qchain,1WGA J1105.4+7238,1.39900004863739,0.0088,0.8662904984630113,0.3536869687170774,0.602909,0.424367,7.97173e-14,0.0,,,,,0.424367,4XMM_HR2,,,,,,,,,,,
NGC3516-Qchain,1WGA J1107.7+7232,2.0999999046325684,0.0088,1.1226405750588397,,,,,,,,,,,,,,,,,0.10144060591680833,370.0,17.700000762939453,,,
