id,ra_deg,dec_deg,cz_kms,glat_deg
13252775-4301073,201.36565,-43.01871,547.0,19.417609611243996
13370091-2951567,204.25383,-29.86576,513.0,31.972700994451746
12395949-1137230,189.99789,-11.62307,1024.0,51.14928482565893
12294679+0800014,187.44499,8.00041,997.0,70.19605370837039
03224178-3712295,50.67412,-37.2082,1760.0,-56.68984675180681
02424077-0000478,40.66988,-0.01329,1137.0,-51.93361424647437
12434000+1133093,190.9167,11.55261,1117.0,74.31776181325796
03171859-4106290,49.3275,-41.10807,788.0,-57.04243876220855
11054859-0002092,166.45247,-0.0359,801.0,52.82925391938006
12304942+1223279,187.70593,12.3911,1307.0,74.49113211709009
10051397-0743068,151.30824,-7.71858,663.0,36.78096075652081
11201502+1259286,170.06261,12.99129,727.0,64.41851553264097
02223290+4220539,35.63711,42.34832,528.0,-17.41524682367936
22370410+3424573,339.26709,34.41592,816.0,-20.72393570707991
09321011+2130029,143.04213,21.50083,556.0,44.54009672280068
11185595+1305319,169.73315,13.09221,807.0,64.22174683225926
12362080+2559146,189.08669,25.98739,1230.0,86.43788470144766
09220265+5058353,140.51106,50.97648,638.0,44.15131524759756
19094609-6351271,287.44208,-63.85754,841.0,-26.146459077920586
11201701+1335221,170.07091,13.58949,825.0,64.78084164862564
12252405+1811278,186.35022,18.19108,729.0,79.23721946311622
09423326-0341568,145.63867,-3.69914,1919.0,35.01418846181013
02402401+3903477,40.10005,39.06325,637.0,-19.089234779426615
12315921+1425134,187.99673,14.42041,2281.0,76.50786684934909
09121949-2410213,138.08124,-24.1726,686.0,16.35375446000294
12250377+1253130,186.26575,12.88696,1060.0,74.47839652116183
04161046-5546485,64.04361,-55.78014,1201.0,-43.691199178987986
10474959+1234538,161.95667,12.58163,911.0,57.63280303993967
12502661+2530027,192.61089,25.50076,1206.0,88.35732596739828
10464574+1149117,161.6906,11.81994,897.0,57.01040863547806
02461905-3016296,41.57941,-30.27491,1271.0,-64.68054398202152
03382908-3527026,54.62118,-35.45074,1425.0,-53.63563929744813
12483590-0548030,192.14961,-5.80085,1241.0,57.063735666262055
13105631+3703321,197.73463,37.05894,946.0,79.24916562401461
12490218-0839514,192.25911,-8.66435,1277.0,54.202666004913326
03333645-3608263,53.40191,-36.14066,1664.0,-54.597786191484126
09453879-3111279,146.41164,-31.19109,1088.0,16.763397691002275
12374359+1149051,189.43166,11.81809,1517.0,74.35521851061274
11510178-2848223,177.75743,-28.80621,1807.0,32.22240902840406
12420800+3232294,190.53337,32.54151,606.0,84.2234297248423
12424986+0241160,190.70778,2.68778,938.0,65.47286978051932
03385213-2620162,54.71721,-26.33784,1297.0,-52.783911079826886
05074234-3730469,76.92643,-37.51305,968.0,-35.9015946155084
11181630-3248453,169.56792,-32.8126,720.0,26.099809857176872
11131710-2645179,168.32129,-26.75499,1367.0,31.175321857204732
12242822+0719030,186.11761,7.31752,1243.0,69.1818712048473
12225489+1549205,185.72874,15.82238,1571.0,76.89893511390656
15155368+5619438,228.97369,56.32885,667.0,51.087024837087235
10435773+1142129,160.99055,11.70361,756.0,56.36797482939907
12522211-0111588,193.09213,-1.19969,1239.0,61.67117187570649
03401190-1834493,55.0496,-18.58038,1779.0,-50.3837591289309
10481689+1237454,162.0704,12.6293,704.0,57.752382297122736
04120433-3252271,63.01806,-32.87421,1040.0,-46.5840754740316
12272655+1106271,186.86066,11.10754,916.0,73.01470383454671
04154522-5535324,63.93843,-55.59236,1202.0,-43.80116409540418
03385191-3535398,54.71632,-35.59439,1873.0,-53.554764235834
22075242+3121329,331.96841,31.35915,952.0,-19.70740914009576
00302189-3314432,7.59122,-33.24535,1602.0,-82.37682096032526
14445600+0157170,221.23335,1.95474,1724.0,52.955478058809334
22571068-3627449,344.29453,-36.46248,1713.0,-64.10979369626769
11260858+4335093,171.53577,43.58592,770.0,66.19107097062705
15062956+5545479,226.62317,55.76331,672.0,52.48906065219532
03362759-3458347,54.11496,-34.9763,1855.0,-54.05859532416685
12080601+6510268,182.02507,65.17413,1356.0,51.33907713496297
13560724+0515169,209.03015,5.25474,1139.0,63.24573084054053
12215494+0428249,185.47896,4.47359,1566.0,66.27569272456104
02352772-0921216,38.86555,-9.35601,1550.0,-59.69626855762998
12262708+3113247,186.61293,31.22352,716.0,83.181924657186
07362384-6931509,114.09934,-69.53082,1466.0,-21.501702204261516
12340849+0239137,188.5354,2.65381,1736.0,65.1778914793968
03382978-2301396,54.62412,-23.02769,1636.0,-52.12050268082947
02273746-0109226,36.90609,-1.15628,1340.0,-55.2639642103122
04200041-5456161,65.00175,-54.93781,1504.0,-43.393265726636635
05051445-3758507,76.31023,-37.98075,1175.0,-36.452779257064726
15062929+0136193,226.62206,1.60537,1630.0,48.7964033531286
12450867-0027428,191.28615,-0.46191,1523.0,62.36836013526709
12184962+1424593,184.70677,14.41649,2407.0,75.18983581245304
11165465+1803065,169.22774,18.05181,960.0,66.42234593871004
18485789-6510244,282.24118,-65.17344,946.0,-24.1929427674683
03261732-2120073,51.57217,-21.33537,1570.0,-54.36612697169523
12195066+2936529,184.96111,29.6147,930.0,82.62106730680189
22091625-4709599,332.31769,-47.16666,1750.0,-52.58015162289054
01214684+0515241,20.4452,5.25672,2272.0,-56.79457162450491
06183771+7821252,94.65713,78.35702,893.0,24.896257142333003
13195002-2724362,199.95851,-27.41009,2143.0,35.03672271613904
11573598+5322282,179.39993,53.37452,1048.0,61.92334709385324
08553773+7813230,133.90721,78.22308,1400.0,32.68844363755386
09102015+0702160,137.58397,7.03777,1350.0,33.9876244820097
12312403+2546299,187.85014,25.77498,1344.0,85.31581054513306
11113096+5540268,167.87903,55.67412,699.0,56.25174120352691
13132753+3635371,198.36473,36.59365,875.0,79.44800896610357
