Nest,Nmb,PGC1,sigV,<Vcmba>
100001,136,44715,886,7331
100002,197,41220,670,1491
100003,113,43296,822,3873
100004,81,58265,740,9424
100005,61,36487,707,6987
100006,85,31478,648,4099
100007,86,56962,1261,11603
100008,65,39600,209,1054
100009,66,59827,976,9112
100010,55,47202,1002,15265
100011,45,49025,440,4929
100012,43,50100,386,4480
100013,49,43924,329,4796
100014,47,30308,502,3257
100015,39,43763,387,4559
100016,35,20778,1134,12013
100017,29,20136,512,6061
100018,30,38156,408,7472
100019,33,46247,366,2835
100020,27,33927,794,10425
100021,26,47071,690,11053
100023,16,34426,256,1486
100024,24,48896,729,12413
100025,23,59332,449,10647
100026,23,46639,345,7378
100027,23,48040,237,4207
100028,23,1118804,594,8877
100029,29,31755,504,6646
100030,21,23404,367,5100
100031,21,45174,300,3653
100032,20,50028,479,6628
100033,19,48624,620,11516
100034,19,26377,436,7052
100035,22,23160,259,8298
100036,18,43547,733,14879
100037,18,51107,497,7236
100038,24,63794,439,7655
100039,18,49514,160,2645
100040,17,44257,739,14880
100041,17,57728,589,9429
100042,17,52441,451,8437
100043,18,50729,505,6971
100044,18,22520,362,8811
100045,17,15570,320,4408
100046,19,54913,737,10921
100047,16,46618,378,3732
100048,16,61693,337,5278
100049,16,47346,314,7187
100050,20,35557,356,6812
100051,16,47822,268,7727
100052,16,95536,238,9379
100053,16,21231,231,1942
100054,15,84830,1438,18184
100055,15,47150,991,14422
100056,15,51480,955,16287
100057,15,2394629,584,11634
100058,15,33000,326,12656
100059,15,28782,180,10061
100060,15,43557,155,3628
100061,14,38523,351,7124
100062,14,62122,308,4717
100063,14,18004,265,4247
100064,17,44852,244,5303
100065,15,40692,264,1106
100066,13,4683777,832,15715
100067,31,54666,763,11604
100068,13,511935,536,10704
100069,13,29822,388,7185
100070,13,58596,360,9408
100071,13,38201,358,6380
100072,13,3099003,329,11225
100073,13,53932,280,1825
100074,13,46974,217,4484
100075,13,28960,203,2928
100076,13,47408,193,5911
100077,18,36071,2041,18267
100078,12,62082,1317,18737
100079,12,46459,679,15701
100080,12,17825,531,8032
100081,12,45778,511,11181
100082,12,41975,471,7670
100083,12,1109100,462,9970
100084,12,60192,371,8847
100085,15,26143,390,8904
100086,12,59927,347,8455
100087,12,36504,319,10110
100088,12,166275,296,6127
100089,12,19464,292,10817
100090,12,33871,288,3194
100091,12,29655,231,5689
100092,12,40498,196,3549
100093,11,63099,1029,15666
100094,11,54526,620,10912
100095,11,54412,571,17401
100096,11,59947,498,9017
100097,11,51834,409,8326
100098,11,26196,384,9003
100099,11,49307,364,5272
100100,11,49804,347,11767
100101,11,900018,342,8770
100102,11,28257,303,6672
100103,11,3093257,300,8609
100104,11,19220,247,12442
100105,11,33535,241,8479
100106,11,30671,167,3081
100107,11,61570,154,4639
100108,5,20164,1894,19266
100109,10,25714,894,17153
100110,10,57966,508,9726
100111,11,43200,459,7444
100112,10,44223,445,17469
100113,10,47195,439,14341
100114,10,3097105,434,8940
100115,10,53274,426,13964
100116,10,389125,398,5834
100117,10,48646,385,10555
100118,10,27441,361,10551
100119,10,29012,350,9825
100120,10,47055,341,6995
100121,10,28927,281,4182
100122,11,32256,283,1323
100123,11,51084,266,7802
100124,10,19891,276,6287
100125,17,33207,511,11046
100126,10,27509,213,7259
100127,10,34772,200,11050
100128,15,42407,198,1673
100129,10,37061,175,2168
100130,10,19602,172,5451
100131,9,2206347,1036,15267
100132,9,46187,769,15439
100133,9,61305,727,11877
100134,9,20097,586,11161
100135,9,54213,496,14124
100136,9,21993,421,6984
100137,12,46506,641,12018
100138,9,59456,395,10541
100139,9,61121,385,8268
100140,9,39906,363,8457
100141,9,3097094,339,9042
100142,12,52638,317,9285
100143,9,55279,314,6551
100144,9,28900,300,6655
100145,9,58389,295,11920
100146,9,36359,270,9629
100147,9,60543,263,7843
100148,9,37591,240,4846
100149,9,49747,236,3638
100150,10,51681,252,4637
100151,9,34925,230,7501
100152,9,24590,212,2364
100153,9,26588,202,5131
100154,9,44965,199,10079
100155,9,49847,198,5936
100156,9,31358,196,6833
100157,9,44734,188,10364
100158,9,49424,188,3158
100159,9,58828,183,5822
100160,9,17625,175,4131
100161,9,36319,171,6614
100162,9,477015,135,6092
100163,9,14508,126,1058
100164,9,38892,112,4233
100165,8,47397,1030,15001
100166,8,62613,829,17038
100167,8,5060494,760,17915
100168,8,57455,646,15498
100169,8,26587,590,14716
100170,8,4076851,495,12578
100171,8,35254,493,10953
100172,8,63529,472,7714
100173,9,60677,554,13884
100174,8,34898,437,8247
100175,8,44510,428,9975
100176,8,23528,426,9287
100177,8,28842,403,15124
100178,8,26430,368,10362
100179,8,50096,367,6908
100180,8,200509,358,7633
100181,8,53982,348,13008
100182,8,2816495,337,7566
100183,8,56941,323,9575
100184,8,35150,317,10299
100185,8,47998,304,7141
100186,8,40697,299,7786
100187,8,60795,285,8826
100188,10,55783,248,10095
100189,8,50558,280,5357
100190,8,141864,278,7682
100191,8,52055,271,9137
100192,8,3097003,266,8423
100193,8,60097,262,11418
100194,8,45313,256,1869
100195,8,24002,250,7726
100196,11,26013,259,7061
100197,8,28483,241,9940
100198,8,61238,241,6736
100199,8,137853,223,6788
100200,8,49421,218,6180
100201,8,34566,214,1976
100202,8,49044,213,2071
100203,8,33206,212,9912
100204,8,47637,191,7305
100205,8,22373,190,6070
100206,8,47225,189,7587
100207,8,47980,183,7707
100208,8,38411,183,2396
100209,8,49428,171,8876
100210,8,37247,170,8691
100211,8,53260,166,8766
100212,8,45299,148,9210
100213,8,18699,144,4205
100214,8,45466,143,3339
100215,8,30785,137,3103
100216,8,46409,134,3330
100217,8,25067,129,2129
100218,8,56398,100,6090
100219,8,37969,67,2028
100220,7,49543,2337,20119
100221,7,36545,2083,17757
100222,7,2643981,1506,20594
100223,7,516831,1306,17354
100224,7,45343,966,15796
100225,7,1904136,962,20595
100226,7,2292580,872,16736
100227,7,60686,864,13494
100228,7,44244,860,13663
100229,7,62665,801,16782
100230,7,61513,721,15521
100231,7,3807540,643,15792
100232,7,35785,576,10175
100233,7,3811057,565,15952
100234,7,50691,499,10831
100235,7,48760,485,9092
100236,7,54316,458,9468
100237,7,30904,393,9691
100238,7,35533,379,13820
100239,7,38407,372,9110
100240,7,58340,348,9828
100241,7,19267,347,10956
100242,7,24233,345,8959
100243,10,27620,345,6737
100244,7,44761,317,5412
100245,7,32244,314,11282
100246,7,52797,308,9284
100247,7,29790,297,4978
100248,7,25814,296,9139
100249,7,1369996,285,9729
100250,7,58155,284,10447
100251,7,44660,284,7411
100252,7,50960,280,4730
100253,7,51134,264,11437
100254,7,36107,253,6247
100255,7,17387,249,5096
100256,7,24970,230,3633
100257,7,16537,224,4984
100258,7,54014,222,11069
100259,7,59079,215,9002
100260,7,16750,215,4421
100261,7,25718,198,7430
100262,7,36028,190,9632
100263,7,39791,188,1661
100264,7,59979,172,6833
100265,7,55559,170,5906
100266,7,51965,169,4297
100267,7,22510,168,4946
100268,7,47848,163,10688
100269,7,32055,155,6745
100270,7,58709,154,7540
100271,7,1302291,153,6763
100272,7,25518,148,5826
100273,11,30083,131,1604
100274,7,28376,137,3178
100275,7,36889,137,3558
100276,7,36200,135,3763
100277,7,23303,120,1962
100278,7,23495,119,4480
100279,7,28806,83,2808
100280,7,61559,78,8224
100281,7,38524,73,1512
100282,6,55151,1960,20875
100283,6,156984,1324,19395
100284,7,21757,935,15467
100285,6,61040,908,16578
100286,6,61357,888,18377
100287,6,48614,866,13002
100288,6,60204,772,14397
100289,6,57460,528,9886
100290,6,46090,510,11531
100291,6,22359,508,10382
100292,6,54689,450,12644
100293,6,529298,428,10556
100294,6,55733,424,13063
100295,6,36640,420,10528
100296,6,55625,413,7486
100297,6,58644,388,9884
100298,6,5060501,388,9120
100299,6,3772816,379,9788
100300,10,170110,485,12336
100301,12,56484,349,7618
100302,6,46836,366,7318
100303,6,30312,348,12388
100304,6,48580,341,11175
100305,6,49039,336,7648
100306,6,47682,331,11085
100307,6,29387,330,9427
100308,6,26049,325,7312
100309,6,3442284,321,12501
100310,6,20461,315,9010
100311,7,22555,318,4724
100312,6,51610,310,8572
100313,6,34844,301,9177
100314,6,36002,283,5730
100315,6,33452,280,9343
100316,6,36378,274,15946
100317,9,2388600,242,8170
100318,6,46819,268,7431
100319,7,33465,245,6741
100320,6,61266,266,15647
100321,6,165398,263,4799
100322,6,497794,262,14956
100323,6,59533,258,11811
100324,6,32479,256,5117
100325,6,54625,250,2670
100326,6,49869,242,7887
100327,6,60755,240,12745
100328,6,64154,234,7388
100329,6,29011,233,9403
100330,6,96484,229,6688
100331,7,21860,215,5984
100332,6,1002342,225,8353
100333,6,50564,222,13033
100334,6,2800915,219,8437
100335,6,21438,212,12347
100336,6,137982,207,3171
100337,6,22950,206,9536
100338,6,35840,202,6055
100339,6,56636,202,4706
100340,6,45575,201,5860
100341,6,48161,199,4686
100342,6,46490,192,2400
100343,6,18637,188,4267
100344,6,31319,187,7790
100345,6,34786,184,8172
100346,6,21220,176,8701
100347,6,62056,176,8117
100348,6,50080,176,4084
100349,6,54169,174,7794
100350,6,46957,163,785
100351,6,31501,162,9054
100352,6,906969,161,11249
100353,6,27418,160,5043
100354,6,60453,157,8564
100355,6,39223,151,7110
100356,6,22381,148,5494
100357,6,28845,147,3140
100358,6,19603,136,5207
100359,6,51978,129,2356
100360,6,23128,120,3689
100361,6,51794,114,7149
100362,6,29192,112,5357
100363,6,984620,111,7219
100364,6,53418,106,9024
100365,6,20833,102,6069
100366,6,28196,98,5012
100367,6,25144,97,5248
100368,6,170075,75,12601
100369,8,48189,81,7337
100370,5,5060652,2112,19166
100371,5,43900,1254,16930
100372,5,23771,987,15508
100373,5,2085445,848,21839
100374,5,34385,729,14826
100375,5,22249,693,16614
100376,5,52629,622,13195
100377,5,27740,608,20227
100378,5,537966,601,16411
100379,5,167605,598,11465
100380,5,893403,586,14349
100381,5,62112,548,9913
100382,5,23867,538,12201
100383,5,33893,535,8895
100384,5,28080,524,14453
100385,5,23994,494,12036
100386,5,57725,456,17545
100387,5,701198,433,16869
100388,5,56063,428,11508
100389,5,166342,424,11250
100390,5,50997,423,9642
100391,7,47023,336,7845
100392,5,46747,401,9019
100393,5,29675,400,9531
100394,5,46580,400,7010
100395,5,3097015,397,10917
100396,5,917034,394,8318
100397,5,3076997,382,10898
100398,5,47712,375,13597
100399,5,52915,373,11809
100400,5,556993,368,18646
100401,5,58472,358,7538
100402,5,3076923,357,5233
100403,8,29239,476,14586
100404,5,55360,344,11877
100405,5,35415,326,10349
100406,5,57482,324,10140
100407,5,3097039,323,9044
100408,5,32168,320,11873
100409,5,60010,317,8767
100410,5,1999078,316,7501
100411,5,23894,310,10083
100412,5,37206,306,7097
100413,5,60641,301,6696
100414,5,20107,298,8295
100415,5,33446,295,8033
100416,5,30432,294,10229
100417,5,59086,291,10904
100418,5,159659,291,11562
100419,5,56373,290,10475
100420,5,25844,283,11612
100421,5,93135,279,7204
100422,5,55295,278,10651
100423,5,57408,269,9895
100424,5,22742,265,5626
100425,5,39004,263,9414
100426,5,31168,258,10495
