idx,angdist_arcsec,qso_name,qso_type,qso_ra,qso_dec,qso_z
9006,133.972498,SDSS J142715.07+372934.7,Q,216.8128133,37.4929879,1.0479999780654907
19903,55.826249,WISEA J181218.40+705107.0,q,273.0766608,70.8519768,2.700000047683716
9008,115.206404,WISEA J225510.33+320921.7,q,343.7929676,32.1560568,0.30000001192092896
9008,172.192624,WISEA J225510.82+321347.0,q,343.7950807,32.2297224,1.899999976158142
9013,66.473443,SDSS J120004.34+080949.8,Q,180.0181059,8.1638244,4.414999961853027
9013,91.15096,LAMOSTJ120008.38+081142.6,Q,180.0348894,8.195137,0.6830000281333923
9014,171.737865,J141620.16+392722.0,R,214.0840109,39.4561374,2.4000000953674316
19908,0.099725,MCG 8-15-009,NRX,117.9661996,49.814303,0.024000000208616257
19910,138.236063,J125741.80-312008.6,X,194.4241923,-31.3357363,
9017,22.193271,J163029.22+393711.6,X,247.6217778,39.6198889,
19912,112.892612,SDSS J134741.01+374425.4,QR,206.9209363,37.7404193,1.7690000534057617
19912,161.847531,SDSS J134752.35+374740.6,Q,206.9681516,37.7946251,0.9950000047683716
9022,146.939902,SDSS J133607.15+063706.8,Q,204.0298515,6.6185263,2.680000066757202
9022,161.33332,SDSS J133551.52+063401.4,Q,203.9646891,6.5670718,2.177999973297119
19921,59.30455,SDSS J230721.21+224815.4,Q,346.8384194,22.8042874,1.468999981880188
19922,0.271259,MCG 2-60-017,NRX,356.7883234,15.5967481,0.026000000536441803
9030,158.820837,NPM1G+41.0135,AR,103.7917715,41.0028222,0.02199999988079071
19926,85.764651,WISEA J030506.65-413259.9,q,46.2777507,-41.5500112,1.899999976158142
9032,75.903181,SDSS J080003.15+354912.1,Q,120.0131645,35.8200181,0.8270000219345093
9032,136.390872,SDSS J075946.38+354930.2,Q,119.943277,35.825048,1.375
19928,89.746673,OzDES-DR2_03524,Q,97.415774,-57.885468,1.3730000257492065
19929,97.931258,SDSS J075316.90+272915.6,Q,118.3204196,27.4876791,3.299999952316284
9034,104.831114,SDSS J110129.82+574211.0,Q,165.374275,57.7030663,1.2050000429153442
19930,59.332254,SDSS J101031.40+061029.3,QX,152.6308572,6.1748266,2.2679998874664307
19930,148.045154,SDSS J101044.30+060912.9,QX,152.6846073,6.1536031,1.4570000171661377
19930,160.326008,J101025.10+061106.9,X,152.6046183,6.1852682,1.100000023841858
