idx,angdist_arcsec,qso_name,qso_type,qso_z,qso_xname,qso_rname
80917,55.531059,SDSS J134706.28+360309.9,Q,0.5550000071525574,,
40929,146.059427,WISEA J084015.54-030741.7,q,2.0,,
70938,156.215198,SDSS J013759.99+293722.1,Q,2.819000005722046,,
20986,13.907868,SDSS J003905.83+005425.5,QX,2.7170000076293945,4XMM J003905.8+005425,
20986,115.366914,SDSS J003859.21+005450.9,AX,0.414000004529953,4XMM J003859.1+005450,
20986,156.109821,SDSS J003914.76+005248.1,QX,1.9819999933242798,CXOG J003914.7+005247,
962,96.500532,WISEA J101130.08-301117.2,q,2.200000047683716,,
60926,111.055456,SDSS J015034.96+150249.5,Q,0.4339999854564667,,
70939,33.808574,SDSS J013743.55+312736.8,Q,1.4149999618530273,,
10949,154.052272,WISEA J223828.04+333834.6,q,1.5,,
80920,100.875648,SDSS J170210.81+342925.6,Q,1.4259999990463257,,
80920,157.112672,WISEA J170203.86+342734.9,q,0.30000001192092896,,
60927,160.042347,SDSS J015424.63+162151.4,NR,0.4819999933242798,,VL0J015424.61+162151.7
60927,178.424579,SDSS J015418.58+162656.4,Q,0.6200000047683716,,
70942,177.163727,WISEA J025628.47-113433.0,q,0.6000000238418579,,
80921,54.368524,SDSS J165958.17+350544.4,Q,1.0839999914169312,,
30974,112.625578,WISEA J231055.43+071252.2,q,0.30000001192092896,,
20990,123.046041,SDSS J073819.37+182018.1,Q,2.0980000495910645,,
90913,169.379407,WISEA J200146.49-525549.3,q,1.2000000476837158,,
966,58.405725,WISEA J033911.70-201025.0,q,0.5,,
80922,136.719467,SDSS J165922.88+353437.4,N,0.12099999934434891,,
80922,168.37337,SDSS J165912.80+353345.2,Q,1.156999945640564,,
80922,172.087697,SDSS J165938.70+353151.9,Q,1.2380000352859497,,
40935,134.60128,SDSS J111337.62+222949.2,Q,2.0420000553131104,,
60928,150.821766,WISEA J025728.14-010522.2,q,0.30000001192092896,,
70944,68.368009,WISEA J031310.03-030437.0,q,1.899999976158142,,
10953,57.510244,WISEA J022026.36+435434.3,q,0.20000000298023224,,
60929,70.022868,SDSS J024855.23-020550.0,Q,1.2990000247955322,,
80923,74.07055,J171415.62+354008.2,R,0.5,,VL0J171415.64+354008.3
90914,162.666354,WISEA J202106.68-531124.4,q,1.7000000476837158,,
20992,138.667486,SDSS J113330.24+213326.5,QX,0.8100000023841858,1WGA J1133.4+2133,
20992,144.691316,WISEA J113347.38+213055.6,q,0.5,,
60930,46.826429,SDSS J025732.22-004634.0,Q,0.7089999914169312,,
50946,84.895012,WISEA J052235.27+060547.9,q,1.2999999523162842,,
80925,104.392305,GB6 J17255+5851,BRX,0.296999990940094,2SXPS J172535.3+585141,VL0J172535.06+585139.9
80925,119.223066,SDSS J172541.63+585458.0,qX,0.5,2SXPS J172541.7+585501,
20995,150.979196,SDSS J113350.69+212858.2,Q,2.193000078201294,,
90916,44.63519,SDSS J235154.12+282131.2,Q,1.4359999895095825,,
90916,93.307125,J235157.66+282030.9,R,,,VL0J235157.64+282030.6
90916,152.063612,SDSS J235208.01+282205.1,Q,1.6579999923706055,,
50947,162.563305,J052212.34+074213.6,X,0.30000001192092896,4XMM J052212.3+074213,
80926,121.841704,J170425.83+593653.3,X,,2RXP J170426.2+593653,
20996,108.294903,WISEA J150318.30-153340.5,q,1.7999999523162842,,
30979,93.507929,SDSS J235017.38+065223.8,Q,1.2089999914169312,,
30979,152.490193,SDSS J235004.01+065352.3,Q,1.4579999446868896,,
30979,167.148325,SDSS J235020.79+065036.5,Q,1.1649999618530273,,
30979,172.038168,SDSS J235022.74+065148.0,Q,1.8930000066757202,,
972,141.903378,J130216.81+003402.4,X,,CXOG J130216.5+003402,
90917,27.719535,SDSS J235057.42+271350.6,QX,3.440000057220459,4XMM J235057.3+271350,
90917,104.960439,SDSS J235106.18+271414.8,QX,1.281000018119812,4XMM J235106.2+271415,
40942,82.753637,WISEA J131917.59-333602.6,q,1.600000023841858,,
10960,151.448631,WISEA J155553.64+180837.0,q,1.0,,
