idx,angdist_arcsec,qso_name,qso_type,qso_z,qso_xname,qso_rname
9006,133.972498,SDSS J142715.07+372934.7,Q,1.0479999780654907,,
19903,55.826249,WISEA J181218.40+705107.0,q,2.700000047683716,,
9008,115.206404,WISEA J225510.33+320921.7,q,0.30000001192092896,,
9008,172.192624,WISEA J225510.82+321347.0,q,1.899999976158142,,
9013,66.473443,SDSS J120004.34+080949.8,Q,4.414999961853027,,
9013,91.15096,LAMOSTJ120008.38+081142.6,Q,0.6830000281333923,,
9014,171.737865,J141620.16+392722.0,R,2.4000000953674316,,VL0J141620.20+392721.0
19908,0.099725,MCG 8-15-009,NRX,0.024000000208616257,2SXPS J075152.0+494849,VL0J075151.90+494851.4
19910,138.236063,J125741.80-312008.6,X,,4XMM J125741.7-312008,
9017,22.193271,J163029.22+393711.6,X,,4XMM J163029.3+393710,
19912,112.892612,SDSS J134741.01+374425.4,QR,1.7690000534057617,,VL0J134741.04+374425.6
19912,161.847531,SDSS J134752.35+374740.6,Q,0.9950000047683716,,
9022,146.939902,SDSS J133607.15+063706.8,Q,2.680000066757202,,
9022,161.33332,SDSS J133551.52+063401.4,Q,2.177999973297119,,
19921,59.30455,SDSS J230721.21+224815.4,Q,1.468999981880188,,
19922,0.271259,MCG 2-60-017,NRX,0.026000000536441803,4XMM J234709.1+153548,VL0J234709.19+153548.4
9030,158.820837,NPM1G+41.0135,AR,0.02199999988079071,,VL0J065509.97+410010.6
19926,85.764651,WISEA J030506.65-413259.9,q,1.899999976158142,,
9032,75.903181,SDSS J080003.15+354912.1,Q,0.8270000219345093,,
9032,136.390872,SDSS J075946.38+354930.2,Q,1.375,,
19928,89.746673,OzDES-DR2_03524,Q,1.3730000257492065,,
19929,97.931258,SDSS J075316.90+272915.6,Q,3.299999952316284,,
9034,104.831114,SDSS J110129.82+574211.0,Q,1.2050000429153442,,
19930,59.332254,SDSS J101031.40+061029.3,QX,2.2679998874664307,4XMM J101031.5+061029,
19930,148.045154,SDSS J101044.30+060912.9,QX,1.4570000171661377,4XMM J101044.3+060913,
19930,160.326008,J101025.10+061106.9,X,1.100000023841858,4XMM J101025.1+061106,
19930,167.720015,SDSS J101045.85+060921.4,qX,1.399999976158142,4XMM J101045.9+060921,
19930,173.015755,SDSS J101043.36+061201.4,ARX,0.09799999743700027,4XMM J101043.3+061201,VL0J101043.36+061201.5
9036,154.376019,LAMOSTJ131631.44+305926.4,Q,1.8660000562667847,,
19932,140.687311,SDSS J110723.04+182343.5,A,0.18799999356269836,,
9039,147.790347,WISEA J142951.25+791628.6,q,1.399999976158142,,
19934,115.747442,WISEA J115043.40-073527.1,q,0.30000001192092896,,
19936,106.500725,SDSS J120411.90+015100.2,qX,0.20000000298023224,4XMM J120411.9+015100,
19936,126.458505,J120427.43+015054.6,X,,CXOG J120427.4+015054,
19937,99.973056,WISEA J121950.15-213210.9,q,1.100000023841858,,
9043,97.478038,WISEA J020424.21-550638.9,q,1.2999999523162842,,
19939,133.346288,J125929.25+275314.0,X,0.20000000298023224,4XMM J125929.2+275314,
19939,139.29846,J125933.28+274851.3,X,0.5,CXOG J125933.3+274850,
19939,171.71741,J125916.60+275033.1,X,,CXOG J125916.7+275032,
9049,103.951058,PB 3185,QX,0.3840000033378601,1RXH J125916.7+275346,
9049,117.619898,J125929.25+275314.0,X,0.20000000298023224,4XMM J125929.2+275314,
9049,151.620197,J125920.92+275709.9,X,,1RXH J125920.8+275712,
9051,137.17272,WISEA J223035.51-173642.1,q,1.399999976158142,,
19948,127.613057,SDSS J081046.72+463052.5,Q,1.0160000324249268,,
19948,141.698291,SDSS J081056.42+463224.1,Q,2.4700000286102295,,
19950,126.17929,SDSS J085009.22+190133.4,AR,0.42899999022483826,,FIRST J085009.2+190133
19951,94.345101,SDSS J094751.67+090817.9,Q,3.2699999809265137,,
19953,77.108211,SDSS J115540.69+295620.5,Q,3.559999942779541,,
19954,161.179081,SDSS J121619.07+575011.0,Q,2.181999921798706,,
9059,152.744453,PGC 1645533,NR,0.16599999368190765,,FIRST J115926.8+211334
19958,124.936914,SDSS J160950.46+563927.1,Q,0.5559999942779541,,
19958,131.647817,SDSS J161011.51+563623.7,Q,2.7869999408721924,,
9063,88.703946,SDSS J173014.47+352247.3,Q,1.9700000286102295,,
19961,19.704588,J173416.32+680052.1,X,,2XMM J173416.6+680052,
19961,151.197169,WISEA J173421.17+680339.1,qX,0.20000000298023224,4XMM J173421.1+680338,
19961,169.760003,SDSS J173409.21+675826.9,qX,0.800000011920929,2XMM J173409.4+675830,
19961,173.573238,WISEA J173447.66+680159.3,q,1.7999999523162842,,
19963,134.960877,SDSS J212921.10-001851.8,Q,0.8050000071525574,,
19964,126.612382,SDSS J215328.60+253138.2,Q,1.5260000228881836,,
19964,166.661094,J215308.02+253058.4,2,1.399999976158142,,
9069,0.187344,IC 756,A,0.020999999716877937,,
9070,50.567735,SDSS J121501.80+140112.6,qX,0.6000000238418579,4XMM J121501.8+140112,
9070,64.692378,SDSS J121507.57+140057.5,qX,0.4000000059604645,2XMM J121507.5+140056,
9071,120.478857,AGES J143524.80+350536.2,Q,1.4290000200271606,,
9071,175.667192,AGES J143520.15+350413.3,QX,1.0509999990463257,CXOG J143520.1+350413,
9071,176.199928,AGES J143527.81+350454.5,QX,2.2300000190734863,CXOG J143527.7+350454,
19968,117.815768,SDSS J012619.86-014929.5,Q,2.2139999866485596,,
